audit_index,id,title,author,current_bands,decision,rationale,beth_review_flag
A-074,b4a7aeec-7a55-4cd8-9a03-b51680f7a768,The Impossible Creatures,Katherine Rundell,"10-12, 8-10",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Impossible Creatures — Katherine Rundell.,amy-approved
A-078,a119656b-3b08-4cbf-bdf7-8d2fbb17a4af,The Lions' Run,Sara Pennypacker,8-10,remove-from-database,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: The Lions Run — Sara Pennypacker 2026. Nazi-occupied France, Lebensborn program (stolen children), Resistance. WWII content with kidnapping-of-children theme. Pennypacker has range (Pax is 7-9, this reads older). Beth confirms — likely Scholar-only with Heads Up.",amy-approved
A-080,7323a15c-c368-4e6f-bc7a-4bb803520a0d,"The Many Assassinations of Samir, the Seller of Dreams",Daniel Nayeri,8-10,remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Many Assassinations of Samir — Daniel Nayeri. Persian trade routes, repeated assassination attempts, moral problem per chapter. Sophisticated structure, religious/philosophical content. Likely Scholar-only. Beth confirms.",amy-approved
A-090,83dffdfb-85f0-4899-9ee8-d7d5d52e3d60,The Secret Library,Kekla Magoon,8-10,remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Secret Library — Kekla Magoon 2026. ""Save lives or destroy everything."" Magoon writes substantive middle-grade. Plot-stakes language suggests intensity; Beth confirms.",amy-approved
A-092,a2e09e27-36c8-49e9-bfd1-1f29e356d4a7,The Teacher of Nomad Land: A World War II Story,Daniel Nayeri,"10-12, 8-10",remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Teacher of Nomad Land — Daniel Nayeri. 1941 Iran, orphaned siblings, WWII. Nayeris prior work (Many Assassinations) is Scholar-tier. WWII setting + orphan-sibling narrative. Beth confirms Scholar-only with Heads Up.",amy-approved
A-095,c3be3f45-f5ea-45cf-8f21-4721da6c8859,The Undead Fox of Deadwood Forest,Aubrey Hartman,"5-7, 8-10",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Undead Fox of Deadwood Forest — Aubrey Hartman. Soul-guide-fox + soul-that-refuses-to-leave. Death-and-afterlife theme handled fantastically. Picture-book-of-death-handling. Beth confirms.,amy-approved
A-114,8a2df050-cfec-42ae-8393-b4a4cd14fe46,"At Last She Stood: How Joey Guerrero Spied, Survived, and Fought for Freedom",Erin Entrada Kelly,8-10,remove-from-database,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: At Last She Stood — Joey Guerrero. WWII Filipina spy with leprosy. Disability + war + colonial-era context. Erin Entrada Kelly is canonical 7-9 author but this content sits 10-12. Beth confirms Scholar-only.",amy-approved
A-120,8281d83d-6021-4a50-b82a-5a03cf32197a,Castle,David Macaulay,"10-12, 8-10",remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Castle — 1977 David Macaulay. Pre-1990, browse_visible likely False. Caldecott Honor. Architectural cross-section nonfiction. Macaulays detail is dense; 10-12 fit. Beth confirms whether to retain in browse despite pre-1990 — Macaulay has minimal aging concerns (technical content) and remains library-staple.",amy-approved
A-125,69651b0d-0e1b-4fd2-b7f2-f7380a2c99c3,Full Moon,Michael Light,"10-12, 8-10",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Full Moon — 1999 Michael Light. NASA Apollo photographs. Pre-1990 (false — 1999 is post). Coffee-table photography book. 10-12 only — viewing experience requires the patient older reader. Beth confirms whether browse-suitable or plan-generator-only.,amy-approved
A-133,c9f60a49-a68b-43fb-ba80-d91c7d462a66,Plague-Busters! A Germ-Hunter's History of Fighting Deadly Disease,Lindsey Fitzharris,"10-12, 8-10",remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Plague-Busters! — Lindsey Fitzharris. Disease history, including doctors who died. Fitzharriss rigor + plague content suggests Scholar-only. Beth confirms.",amy-approved
A-144,ec9390ea-b374-49b9-8ff3-419f180a5c92,The Girl Who Drew Butterflies,Joyce Sidman,"10-12, 8-10",remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Girl Who Drew Butterflies — DUPLICATE of row 143. Same audit outcome.,amy-approved
A-146,f456feaa-2643-4cad-9639-fc740201d131,The Mysterious Virginia Hall: World War II's Most Dangerous Spy,Claudia Friddell,"10-12, 8-10",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Mysterious Virginia Hall — WWII spy. Disability + war content. 10-12. Beth confirms — content sensitivity stays at Scholar.,amy-approved
A-153,d6c2204a-9dfc-4f6f-a649-536d3430047b,Separate Is Never Equal,Duncan Tonatiuh,8-10,remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Separate Is Never Equal — DUPLICATE of row 152. Same audit outcome.,amy-approved
B-010,4ed65746-1652-494c-95fd-649d3f1053b9,Clifford the Big Red Dog,Norman Bridwell,2-4,remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Clifford 1963. Pre-1990 already browse-hidden. Plan-generator retains.,amy-approved
B-023,e233c979-8bb2-4fa5-9104-12f044ebbbd3,The Big Red Barn,Margaret Wise Brown,2-4,remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Big Red Barn 1989 Brown. Pre-1990 already browse-hidden. Canonical farm-day cycle.,amy-approved
B-040,6acd87a9-74c3-4720-84c0-14a9f636d84e,Creepy Carrots!,Aaron Reynolds,2-4,remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Creepy Carrots 2012 Reynolds.,amy-approved
B-061,92abc47c-b823-4963-865a-df090866dbd4,"Dad, I Miss You",Nadia Sammurtok,2-4,remove-from-database,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Dad I Miss You 2025 Sammurtok. Inuit child missing father, Arctic landscape. Indigenous representation, family-separation theme. Beth confirms 3-4 fit holds — separation theme can be tender for 3-year-olds; depends on illustration weight.",amy-approved
B-079,f3d4d000-1cb9-4367-a921-c5b7a92d75cd,Dad,Christian Robinson,2-4,remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: Dad 2026 Christian Robinson.,amy-approved
C-014,a0882c53-43f7-464a-9184-06451c1d8f5f,Jovita Wore Pants: The Story of a Mexican Freedom Fighter,Aida Salazar,"2-4, 5-7",remove-from-database,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: Jovita Wore Pants 2023 Salazar. Mexican Revolution + women-disguised-as-men-fighting + journalism saving lives. War-violence framing. Beth confirms — recommend 5-6 + 7-9 only, drops 3-4 (Mexican Revolution combat content too heavy for 3-year-old).",amy-approved
C-024,afdd6964-9729-4b39-bc67-7e61f4ec1abd,My Daddy Is a Cowboy,Stephanie Seales,"2-4, 5-7",remove-from-database,REMOVED per Amy directive (single-issue calls). Original audit rationale: My Daddy Is a Cowboy 2025 Seales. Six-starred-reviews father-daughter morning ride. Diversity-tag (Black cowboy + urban setting). Triple-band fit.,amy-approved
C-039,f938c883-c767-4295-a10c-bfab15d77719,Big,Vashti Harrison,"2-4, 5-7",remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Big 2023 Harrison. Caldecott Medal. Black girl growing up hearing ""big"" as wound, eventually crowns it. Body-shaming theme handled with grace, but the cumulative wounding is heavy. Drops 3-4. Beth confirms — possibly 5-6 with adult support, 7-9 native.",amy-approved
C-077,f3dc1bda-55bd-4cf9-b5e8-e0d1a0a0fa12,The Biggest Bear,Lynd Ward,"2-4, 5-7",remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Biggest Bear 1952 Ward. Pre-1990 (already browse-hidden). Caldecott Medal. Boy-raises-bear-cub-cant-keep-it. Animal-released-into-wild emotional weight. Drops 3-4. Beth confirms.,amy-approved
C-080,2279424a-cf6b-4916-b1ab-a5b9a259a6e4,The Giving Tree,Shel Silverstein,"2-4, 5-7",remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: The Giving Tree 1964 Silverstein. Pre-1990 (already browse-hidden). Lifelong-giving-no-thanks ambiguous classic. Drops 3-4 — emotional ambiguity past 3-year-old comprehension. Beth confirms whether to retain in plan-generator pulls under what framing — book is genuinely contested in modern parenting circles.,amy-approved
C-085,6a899655-e69e-41bb-a5c6-1b6f498c7985,The Lorax,Dr. Seuss,"2-4, 5-7",remove-from-database,REMOVED per Amy directive (best-guess approval). Pre-1990 (1971). Industrial-destruction-of-ecosystem morality tale with extinction-of-Truffulas as central premise. Removing per same logic as other pre-1990 period-content books — the morality-tale framing has aged into political-charged territory that does not match Wizkoo voice. Original: The Lorax 1971 Seuss. Pre-1990 (already browse-hidden). Industrial-destruction-of-ecosystem morality tale. Drops 3-4 — extinction-of-Truffulas as central premise needs 5+ to land. Beth confirms framing for plan-generator pulls.,amy-approved
C-111,fd8a6ff7-1048-4215-876e-d706c20bdb66,Fighting With Love: The Legacy of John Lewis,Lesa Cline-Ransome,5-7,remove-from-database,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: Fighting With Love: John Lewis 2025 Cline-Ransome. Edmund Pettus Bridge beating + sustained civil rights work. Heads Up territory (state violence against children depicted). Beth confirms.",amy-approved
C-114,6cb2d4ed-8a25-4293-ada9-c26ab331afd6,Golden Gate: Building the Mighty Bridge,Elizabeth Partridge,5-7,remove-from-database,"REMOVED per Amy directive (civil-rights-era books where violence is the subject, not backdrop). Original audit rationale: Golden Gate: Building the Mighty Bridge 2025 Partridge. Worker-deaths-during-construction implied. Beth confirms whether 5-6 framing handles the workplace-fatality content.",amy-approved
C-153,373d6813-bed4-4458-9fda-3c8566a6a6ff,My Strange Shrinking Parents,Zeno Sworder,5-7,remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: My Strange Shrinking Parents 2023 Sworder. Immigrant-parents-shrink-with-overwork visual metaphor. Heavy on parental sacrifice. Beth confirms — possibly 7-9 only depending on metaphor reception at 5-6.,amy-approved
C-159,bd8424be-a34e-48be-8c9a-d218fd5ab4bd,Ruthie Rose's Big Idea: A Poetry Story,John Schu,5-7,remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Ruthie Roses Big Idea 2025 Schu. Sharing-as-growing-an-idea. 5-6 + 7-9.,amy-approved
C-163,da5b14b2-cede-4fac-9f15-f909f0c9bcd9,Stalactite and Stalagmite: A Big Tale From a Little Cave,Drew Beckmeyer,5-7,remove-from-database,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Stalactite and Stalagmite 2025 Beckmeyer. Cave-formations-witness-history. 5-6 + 7-9.,amy-approved
C-172,10d5d8c1-b00a-41e6-b9c8-415819b1ab76,The Dot,Peter H. Reynolds,5-7,remove-from-database,"DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: The Dot 2003 Reynolds — DUPLICATE of row 79 above (also B-079 in current corpus tag — wait, this is C-172 in display order; this entry is the 5-7-only second copy of the 2-4+5-7 first copy). De-dup required.",amy-approved
C-181,fbeac55d-117f-41f9-a184-3379bb6b3e5d,The Most Magnificent Thing,Ashley Spires,5-7,remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Most Magnificent Thing 2014 Spires — DUPLICATE of row 178. De-dup required.,amy-approved
C-183,8c8af4c0-4610-4402-9e7a-ce2ec930d15f,The Name Jar,Yangsook Choi,5-7,remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Name Jar 2001 Choi — DUPLICATE of row 180. Same audit.,amy-approved
C-187,74e813b3-e721-4ef1-8ae7-9f68b6e028b2,Those Shoes,Maribeth Boelts,5-7,remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Those Shoes 2007 Boelts — DUPLICATE of row 184. Same audit.,amy-approved
C-191,510c58ce-c543-4993-a103-dfd1d3ac0f41,What Do You Do With an Idea?,Kobi Yamada,5-7,remove-from-database,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: What Do You Do With an Idea 2014 Yamada — DUPLICATE of row 188. Same audit.,amy-approved
C-198,702a637c-d97e-44e1-a6cf-059a3e0ccd43,Mrs. Piggle-Wiggle,Betty MacDonald,5-7,remove-from-database,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Mrs. Piggle-Wiggle 1947 MacDonald. Pre-1990 (already browse-hidden). Canonical. Beth confirms — period framing of ""cures"" for child behavior may have aged unevenly. Plan-generator pulls only.",amy-approved
C-202,b90ce443-978b-4bb8-aebb-915dc877be54,The Moffats,Eleanor Estes,5-7,remove-from-database,REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Moffats 1941 Estes. Pre-1990 (already browse-hidden). WWI-era Connecticut family + financial-struggle. Beth confirms period framing.,amy-approved
D-001,18a6f7b1-1724-4ec6-bf32-329d21c67619,Brown Girl Dreaming,Jacqueline Woodson,10-12,remove-from-database,"Duplicate of Brown Girl Dreaming canonical row e9cf5467. Stale first-draft entry from April 11 import session, ~67 seconds before the corrected canonical entry. Removed per Amy directive Session 13 follow-on.",amy-approved
D-002,5abb6a6c-7eae-4002-8c7a-56d402181843,We Are Not Free,Traci Chee (editor),10-12,remove-from-database,Amy Session 13 directive (sustained classroom/peer cruelty) applied; book fell outside original three-population audit scope. Removed per Amy directive Session 13 coverage-audit follow-on.,amy-approved
D-003,454778a9-fd3d-4c91-af0a-900df0c9487b,Watership Down,Richard Adams,10-12,remove-from-database,"Pre-1990 + sustained animal violence (predator scenes, rabbit-vs-rabbit combat, human-caused warren destruction) at adult-tier intensity. Same logic as Gentle Ben removal.",amy-approved
D-004,c0259c16-6d6b-4721-970c-e2abb2aa31f2,Redwall,Brian Jacques,10-12,remove-from-database,Pre-1990 + sustained animal-combat content across the series. Same logic as Watership Down removal.,amy-approved
D-005,04fe6e65-55e0-4908-8c2c-ba777226a1bd,The Sign of the Beaver,Elizabeth George Speare,10-12,remove-from-database,Pre-1990 frontier-era white-boy/Native-boy friendship narrative with period framing concerns. Same logic as Little House removal.,amy-approved
D-006,0fdb403d-a93f-4bd2-b585-9f16a5e99e79,Island of the Blue Dolphins,Scott O'Dell,10-12,remove-from-database,Pre-1990 Indigenous (Lone Woman of San Nicolas) story written by non-Indigenous author. Same logic as period-framing-by-non-Indigenous-author removals.,amy-approved
D-007,8ef2a95a-591a-425d-ba55-e61b93376c94,Impossible Escape,Steve Sheinkin,10-12,remove-from-database,Holocaust escape narrative; violence-as-subject. Same logic as Lions' Run removal.,amy-approved
D-008,e74470fc-0af5-4e0e-b91f-99ac204c4c17,The Boys Who Challenged Hitler,Phillip Hoose,10-12,remove-from-database,Nazi-era resistance; violence-as-subject. Same logic as Holocaust/Nazi-era violence-as-subject removals.,amy-approved
D-009,22c5f14f-5de4-452a-aa4f-ae1c9dd5b666,"Fallout: Spies, Superbombs, and the Ultimate Cold War Showdown",Steve Sheinkin,10-12,remove-from-database,Cold War nuclear weapons + Cuban Missile Crisis; violence-as-subject.,amy-approved
D-010,c636a07b-30ac-4c72-9f2e-16295b8de345,Most Dangerous: Daniel Ellsberg and the Secret History of the Vietnam War,Steve Sheinkin,10-12,remove-from-database,Vietnam War + Pentagon Papers; violence-as-subject.,amy-approved
D-011,3e3eb02c-dcc1-424c-8f31-9874049685d6,Port Chicago 50,Steve Sheinkin,10-12,remove-from-database,Military explosion + civil rights mutiny trial; violence-as-subject.,amy-approved
D-012,0b78eb0e-6340-46e6-9f60-17e1e2c595ba,"Never Caught, the Story of Ona Judge",Erica Armstrong Dunbar and Kathleen Van Cleve,10-12,remove-from-database,Slavery as central subject (enslaved woman escaping George Washington's household); violence-as-subject. Same logic as civil-rights-era violence-as-subject removals.,amy-approved
D-013,4e39cc4b-e033-4f76-9079-219e2ca14057,Undefeated: Jim Thorpe and the Carlisle Indian School Football Team,Steve Sheinkin,10-12,remove-from-database,Carlisle Indian Industrial School = boarding-school violence against Indigenous children implied throughout; violence-as-subject.,amy-approved
