audit_index,id,title,author,current_bands,reading_level,book_format,year_published,browse_visible,population,decision,new_bands,beth_review_flag,heads_up,rationale
A-011,6363a142-48a5-4cd7-be35-05a1b5cbe36f,The Search for the Giant Arctic Jellyfish,Chloe Savage,"5-7, 8-10",early-reader,nonfiction,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Search for the Giant Arctic Jellyfish — adventure science nonfiction, woman-led marine biology expedition. Early-reader. Wonder content scales 5-6 to 7-9 cleanly."
A-012,ecb5ab1f-95d8-4715-8323-d001546e9099,Blockhead: The Life of Fibonacci,Joseph D'Agnese,"5-7, 8-10",early-reader,picture-book,2010,True,A — 8-10 retag,retag,"5-6, 7-9",duplicate,,"Blockhead: Life of Fibonacci. DUPLICATE of row 13 — same title, same author, same year, near-identical hook. One record must be merged or deleted before migration. Pending de-dup, retag both copies to 5-6, 7-9 (Fibonacci accessible math biography, picture-book format spans 5-6 and 7-9)."
A-013,d5f135cf-43f0-47fa-b8e4-03e5ddaa14a1,Blockhead: The Life of Fibonacci,Joseph D'Agnese,"5-7, 8-10",early-reader,picture-book,2010,True,A — 8-10 retag,remove-from-database,,amy-approved,,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Blockhead: Life of Fibonacci. DUPLICATE of row 12. Same audit outcome.
A-014,41bb9133-6ede-4b29-8ee1-6dced433001c,Each Kindness,Jacqueline Woodson,"5-7, 8-10",early-reader,picture-book,2012,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Each Kindness — Jacqueline Woodson on regret, exclusion, the friendship not made."
A-015,cff4c227-257c-4f73-8825-5079a271e779,If You Made a Million,David M. Schwartz,"5-7, 8-10",early-reader,picture-book,1989,False,A — 8-10 retag,retag,"5-6, 7-9",none,,"If You Made a Million on currency math. Pre-1990 (1989) but Schwartzs math books remain canonical. browse_visible likely False per pre-1990 rule — confirm in migration script. Concept holds 5-6 with adult, 7-9 independent."
A-016,3d8d04a8-c995-42af-872b-af90aa17834f,One Grain of Rice,Demi,"5-7, 8-10",early-reader,picture-book,1997,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"One Grain of Rice — exponential doubling story, 1997. Iconic math picture-book. 5-6 read-aloud, 7-9 for the underlying mathematics."
A-017,7202ae61-a957-488d-baa2-f858ecbdeb5e,Ox-Cart Man,Donald Hall,"5-7, 8-10",early-reader,picture-book,1979,False,A — 8-10 retag,retag,"5-6, 7-9",amy-approved,,"APPROVED per Amy directive (best-guess approval). Developmental floor question, not content. Pioneer-economy cycle works at 5-6 advanced read-aloud and 7-9 native. No Wonderer fit (the cyclical-economy concept is past 3-4). Approving as 5-6 + 7-9. Original: Ox-Cart Man — 1979 Caldecott. Pre-1990 likely browse_visible False. Pioneer self-sufficiency content remains valuable for plan generator queries. Beth confirms Wonderer (3-4) read-aloud potential — language is sparse and could fit 3-4 but the cyclical-economy concept is 5-6 minimum."
A-018,84fa5cfc-c073-4b4c-9bb5-b31dcb2c513c,Seeds of Change,Jen Cullerton Johnson,"5-7, 8-10",early-reader,picture-book,2010,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Seeds of Change on Wangari Maathai. Picture-book biography, Kenya environmentalism. 5-6 read-aloud, 7-9 independent. Strong for cross-band plan generator pulls."
A-019,f4ee2fbb-9008-4c08-a882-986736b76901,Six Dots: A Story of Young Louis Braille,Jen Bryant,"5-7, 8-10",early-reader,picture-book,2016,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Six Dots — young Louis Braille inventing Braille at 15. Picture-book bio. Disability narrative handled with dignity. 5-6 with adult, 7-9 independent."
A-020,147b0b62-b2cd-4830-9627-c32039aed9d9,The Astronaut Who Painted the Moon,Dean Robbins,"5-7, 8-10",early-reader,picture-book,2019,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Astronaut Who Painted the Moon — Alan Bean. Art + space biography. Picture-book. 5-6 to 7-9 clean fit.
A-021,f8c2e905-6943-4358-ad88-cfce286fb793,The Bug Girl,Benjamin Harper & Sarah Glenn Marsh,"5-7, 8-10",early-reader,picture-book,2020,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"The Bug Girl — entomology + outsider-kid affirmation. Picture-book. 5-6 with adult, 7-9 independent. The ""an entomologist wrote back"" beat is exactly the activation move the Product Bible names."
A-022,9b82155c-7913-4822-85d2-d86bf59254ee,The Girl Who Thought in Pictures,Julia Finley Mosca,"5-7, 8-10",early-reader,picture-book,2017,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Girl Who Thought in Pictures — Temple Grandin. Picture-book bio, neurodivergence narrative. 5-6 with adult, 7-9 independent. Family-conversation ranking high."
A-023,f39b3106-fb3e-489b-90f7-e610081fcc52,The Great Kapok Tree,Lynne Cherry,"5-7, 8-10",early-reader,picture-book,1990,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Great Kapok Tree — 1990 Lynne Cherry classic. Rainforest ecology, advocacy framing. 5-6 read-aloud, 7-9 independent."
A-024,92398cb1-40ed-4273-bc03-56119e5731e5,The Promise,Nicola Davies,"5-7, 8-10",early-reader,picture-book,2014,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"The Promise — Nicola Davies. Urban-renewal-through-acorns, gray-city-becomes-green. Picture-book with environmental and ethical depth. 5-6 with adult discussion, 7-9 independent."
A-025,15cbccb9-2acd-44af-9312-01d3e4f2e0f8,The Shortest Day,Susan Cooper,"5-7, 8-10",early-reader,picture-book,2019,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"The Shortest Day — winter solstice across cultures. Picture-book, comparative ritual content. 5-6 to 7-9 fit."
A-026,9bd750b9-047f-4b06-83b8-77af77a084a1,Watercress,Andrea Wang,"5-7, 8-10",early-reader,picture-book,2021,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Watercress — 2021 Caldecott Medal. Andrea Wang on cultural shame, immigrant memory, refusing to perform. Picture-book but emotionally substantial. 5-6 with adult, 7-9 independent. Family-conversation tier."
A-027,fb45189c-ae1c-4c48-afa1-d28b2f08acd8,A Rover's Story,Jasmine Warga,"5-7, 8-10",independent,chapter-book,2023,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"A Rovers Story — Mars rover narrator, AI consciousness questions. Chapter-book scope. Reading level independent but the philosophical content (empathy programmed, what makes human) extends to Scholar."
A-028,3c1799aa-25ec-4752-9c91-ac56f07b35cf,A Sea of Lemon Trees: The Corrido of Roberto Alvarez,María Dolores Águila,"10-12, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Sea of Lemon Trees — Lemon Grove Incident 1931, first successful US desegregation case. Chapter-book historical fiction. Civil rights gravity sits at 7-9 minimum, scales to Scholar."
A-029,d3164fcf-8b5e-454e-85e4-f3093c87b7a9,Al Capone Does My Shirts,Gennifer Choldenko,"10-12, 8-10",independent,chapter-book,2004,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Al Capone Does My Shirts.
A-030,7c40d0ff-9560-4e4b-b88e-45445c032aef,"And Then, Boom!",Lisa Fipps,8-10,independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"And Then, Boom! — Lisa Fipps, novel-in-verse, voice/swimming-pool/poem. Author of Starfish (anti-bullying canon). Verse format reads quicker than prose chapter-book. 7-9 to 10-12 fit; younger pulled by verse structure."
A-031,956c46e8-1222-4426-b6f4-8a5b5befcb49,Benny on the Case,Wesley King,"10-12, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",amy-approved,,"APPROVED per Amy directive (best-guess approval). Disability representation handled as agency. Mosaic Down syndrome protagonist. Holds 7-9 + 10-12 dual-band per audit. Approving. Original: Benny on the Case — 11-year-old protagonist with Mosaic Down syndrome. Mystery in retirement home. Disability narrative handled as agency, not pity. 7-9 to 10-12. Beth confirms — depending on subplot complexity (mystery genre sometimes asks the older reader), this may belong Scholar-only."
A-032,c020343b-3a94-4274-b6bb-e332c9d1ddcd,Busted,Dan Gemeinhart,8-10,independent,chapter-book,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Busted.
A-033,8fc585a6-3849-4abe-9b04-e29313b05529,By the Great Horn Spoon!,Sid Fleischman,"5-7, 8-10",independent,chapter-book,1963,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: By the Great Horn Spoon — 1963 Sid Fleischman, California Gold Rush adventure. Pre-1990, browse_visible likely False. Content holds up but historical-context awareness needed (period framing of Indigenous peoples, racial caricature of period). Beth confirms — possibly retire from browse, retain for plan generator with Heads Up."
A-034,fa6321a2-dc99-44c0-bf99-c6c9e1c68fe7,Charlotte's Web,E.B. White,"5-7, 8-10",independent,chapter-book,1952,False,A — 8-10 retag,retag,"7-9, 10-12",amy-approved,Charlotte the spider dies peacefully on the page near the book's end.,APPROVED per Amy directive (grief/mortality central; Heads Up applied). Charlotte's Web — 1952 E.B. White.
A-035,a3f0255d-20da-4d4c-98bc-c8f957a187f9,Chasing Vermeer,Blue Balliett,8-10,independent,chapter-book,2004,True,A — 8-10 retag,retag,7-9,none,,"Chasing Vermeer — 2004 Blue Balliett. Pentomino math + art mystery. Chapter-book, accessible to 7-9, doesnt scale up to Scholar (mystery is structurally simple for 10-12 reader; that age has Westing Game etc.)."
A-036,91ef1055-a565-49b2-ada0-265608b63850,City of Plagues and Perfumes,Jake Halpern and Peter Kujawinski,8-10,independent,chapter-book,2026,True,A — 8-10 retag,retag,"7-9, 10-12",none,,City of Plagues and Perfumes — Halpern/Kujawinski. Plague tracking by scent. Fantasy-with-science-grounding. 7-9 to 10-12 dual fit.
A-037,b749b3a3-bedc-41dc-844c-afa21fa81009,Elf Dog and Owl Head,M.T. Anderson,8-10,independent,chapter-book,2023,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Elf Dog and Owl Head — M.T. Anderson 2023. Rural fantasy with identity-transformation theme. 7-9 to 10-12.
A-038,47703cc1-76a7-4f81-9335-e4ff5a3e17b8,Extreme Birdwatching: Measuring Change on a Galápagos Island,Loree Griffin Burns,"5-7, 8-10",independent,chapter-book,2026,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Extreme Birdwatching: Galápagos finches, Grant decades-long study. Chapter-book nonfiction (mis-tagged in some libraries as nonfiction picture-book; this is chapter-length). Evolution science. 7-9 to 10-12."
A-039,3c0fc575-d2af-4436-96f2-a7e6463a2ff3,Fablehaven,Brandon Mull,8-10,independent,chapter-book,2006,True,A — 8-10 retag,retag,7-9,none,,Fablehaven — Brandon Mull. Magic-creatures-on-a-preserve series opener. Series escalates dark; book one stays at 7-9 fit. Doesnt need 10-12 placement (series readers age into deeper books #2 onward).
A-040,25b9da9c-66ea-4175-ad35-38d8babe8d09,Found Sound,Meg Wolitzer and Charlie Panek,"5-7, 8-10",independent,chapter-book,2026,True,A — 8-10 retag,retag,"5-6, 7-9",none,,Found Sound — Wolitzer/Panek. Sound-scavenger-hunt + community history. Independent reading level but the puzzle-driven structure works for advanced 5-6 read-aloud and squarely 7-9.
A-041,e399a9c3-7c4a-416a-b9bf-7c5a8c329a62,Gentle Ben,Walt Morey,"5-7, 8-10",independent,chapter-book,1965,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (best-guess approval). Pre-1990 with animal-cruelty themes (bear chained in shed, hunting peril). Removing per same logic as other pre-1990 period-content books. Original: Gentle Ben — 1965 Walt Morey. Pre-1990, browse_visible likely False. Content has bear-hunting peril and animal cruelty themes that need Beths eyes-on. Possibly retire from browse, retain for plan generator with Heads Up."
A-042,6a24899d-cfae-4ce2-b045-c6756c48997a,Harriet the Spy,Louise Fitzhugh,"5-7, 8-10",independent,chapter-book,1964,False,A — 8-10 retag,retag,"7-9, 10-12",none,,"Harriet the Spy — 1964 Fitzhugh. Pre-1990, browse_visible likely False. Canonical. Identity / privacy / consequence themes scale 7-9 to 10-12."
A-043,2f9736ef-8086-4778-97f1-cbffe7f47ad3,Hatchet,Gary Paulsen,"10-12, 8-10",independent,chapter-book,1987,False,A — 8-10 retag,retag,10-12,duplicate,,"Hatchet — DUPLICATE of row 44 (same Paulsen 1987 title, near-identical hook). De-dup required. Decision: 10-12 only — survival narrative, parental-divorce subplot, and intensity of crash sequence make this Scholar territory despite ""13-year-old protagonist"" suggesting earlier. Pre-1990, browse_visible may be True for canonical YA; confirm."
A-044,b9047b0e-4fd9-4b85-a6bf-2c3a7a8ad052,Hatchet,Gary Paulsen,"10-12, 8-10",independent,chapter-book,1987,False,A — 8-10 retag,remove-from-database,,amy-approved,,DUPLICATE removal per Amy directive — kept canonical copy elsewhere in corpus. Original audit rationale: Hatchet — DUPLICATE of row 43. Same audit outcome.
A-045,4553101c-b6a5-4058-a44c-ce8c146987e3,Hattie Mae Begins Again,Sharon G. Flake,8-10,independent,chapter-book,2026,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Hattie Mae Begins Again — Sharon Flake. 1938 setting, class-divide, boarding-school. Historical fiction. 7-9 to 10-12."
A-046,37f69898-b81f-41eb-bd07-ff6c2cc1cd6f,"Hello, Stranger",Barbara O'Connor,"5-7, 8-10",independent,chapter-book,2023,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Hello, Stranger — Barbara OConnor. Small-town friendship, stray dog. Reads younger than 8-10 currently suggests; chapter-book but accessible. 5-6 advanced read-aloud, 7-9 native."
A-047,82c0a2ac-8c49-45a1-9adb-1e7e2fe7c0e0,Iveliz Explains It All,Andrea Beatriz Arango,"5-7, 8-10",independent,chapter-book,2022,True,A — 8-10 retag,retag,"7-9, 10-12",amy-approved,,APPROVED per Amy directive (developmental edge call; no Heads Up needed). Iveliz Explains It All.
A-048,e9f85bce-0ffa-4f8e-8403-df9600e8e66e,Little House in the Big Woods,Laura Ingalls Wilder,"5-7, 8-10",independent,chapter-book,1932,False,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Little House in the Big Woods — 1932.
A-049,5c1d387e-e54f-4c06-8539-777384a1626a,Maizy Chen's Last Chance,Lisa Yee,"5-7, 8-10",independent,chapter-book,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Maizy Chens Last Chance — Lisa Yee. Newbery Honor. Family restaurant + Chinese American history mystery. 7-9 to 10-12.
A-050,a58a864c-dfa0-43c9-8461-f1240f655db0,Mr. Popper's Penguins,Richard and Florence Atwater,"5-7, 8-10",independent,chapter-book,1938,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Mr. Poppers Penguins — 1938. Pre-1990, browse_visible likely False. Beth confirms whether period framing of Antarctic explorer / penguins-as-pets reads acceptably or should retire from browse; plan-generator retention defensible regardless."
A-051,ed7ffd68-7cf7-40d6-9857-7810a53a1bd7,Mr. Revere and I,Robert Lawson,"5-7, 8-10",independent,chapter-book,1953,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Mr. Revere and I — 1953 Robert Lawson. Pre-1990, browse_visible likely False. Horse-narrator American Revolution. Beth confirms period framing."
A-052,83414db6-1d55-4ee9-975e-2c4585c6f8b2,My Side of the Mountain,Jean Craighead George,"5-7, 8-10",independent,chapter-book,1959,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: My Side of the Mountain — 1959 Jean Craighead George. Pre-1990, browse_visible likely False. Survival/wilderness canonical. Some hunting/animal-trapping content; Beth confirms."
A-053,2ad54316-f66e-4668-8c30-dfea2fce2b78,Neon,Jason Reynolds,"10-12, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Neon — Jason Reynolds 2025. Reynolds writes consistently for upper-elementary through YA; ""luminous in her own right, without asking permission"" suggests 10-12+ thematic content (identity, agency, possibly preteen subject matter). Beth confirms upper-band only call."
A-054,9f09d8ce-e48b-4734-b823-cbb2db8219d7,Octopus Moon,Bobbie Pyron,8-10,independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Octopus Moon — child-octopus-mirror narrative. Marine biology + neurodivergence framing. 7-9 to 10-12.
A-055,97d24e32-12cd-4955-965c-453a6f1ca315,Out of My Mind,Sharon M. Draper,"10-12, 8-10",independent,chapter-book,2010,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (sustained classroom/peer cruelty arcs). Original audit rationale: Out of My Mind.
A-056,8275d558-a86f-4b7d-bdb2-169ae666c966,Phoenix,Kimberly Brubaker Bradley,8-10,independent,chapter-book,2026,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Phoenix — Kimberly Brubaker Bradley. Series opener from Fighting Words author. Horse-girl narrative, but Bradley writes hard-edged. 7-9 to 10-12."
A-057,3dd5ddf3-152a-46aa-87dd-d55fc1094d22,Pocket,Katherine Applegate,8-10,independent,chapter-book,2025,True,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Pocket — Katherine Applegate. WWI toy bear narrator, ""outlasted everyone."" War content + grief. Applegate is canonical at 7-9 (Ivan, Crenshaw) but WWI-era loss may pull this Scholar. Beth confirms."
A-058,132926d5-66d5-43b6-9802-01a5f532e910,Pony,R.J. Palacio,"5-7, 8-10",independent,chapter-book,2022,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Pony — R.J. Palacio. Frontier wilderness, ghost-pony, search-for-father. Palacio writes 7-9 to 10-12 (Wonder author). Strong dual fit."
A-059,6fffd317-5286-4831-83c1-98bb3169ea41,Popcorn,Rob Harrell,"5-7, 8-10",independent,chapter-book,2025,True,A — 8-10 retag,retag,"5-6, 7-9",none,,"Popcorn — Rob Harrell. Family-dog narrator, joyful tone. Reads younger than 8-10 placement suggests. 5-6 advanced read-aloud, 7-9 native."
A-060,3034b7ff-4fdf-4dd2-9bfb-154d6ec41a04,Poppy,Avi,8-10,independent,chapter-book,1995,True,A — 8-10 retag,retag,7-9,none,,Poppy — 1995 Avi. Mouse-vs-owl wilderness narrative. Squarely Artisan. 10-12 has Avis harder books (Crispin etc.).
A-061,26a6ece0-de29-4414-9afa-99ca733d22ab,Radiant,Vaunda Micheaux Nelson,8-10,independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Radiant — Vaunda Nelson. 1963 small-town, only Black student, mother as house-cleaner for the bullys family. Civil-rights-era historical fiction. 7-9 to 10-12."
A-062,50d9c57d-0e83-475e-bc84-657c461498eb,Ramona Quimby Age 8,Beverly Cleary,"5-7, 8-10",independent,chapter-book,1981,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (single-issue calls). Original audit rationale: Ramona Quimby Age 8 — 1981 Cleary. Pre-1990, browse_visible likely False. Canonical early-elementary. 5-6 read-aloud, 7-9 independent. Cleary content is largely timeless; minor period detail."
A-063,4bce4c59-7edb-459f-be92-0a6b7e10aedf,Savvy,Ingrid Law,"5-7, 8-10",independent,chapter-book,2008,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Savvy.
A-064,243fd485-11db-4113-b4e5-202bb89d2cdf,Simon Sort of Says,Erin Bow,8-10,independent,chapter-book,2023,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Simon Sort of Says — Erin Bow 2023. Newbery Honor. Plot premise: family relocates to escape viral video. Underlying premise is school-shooting-survivor; Bow handles with grace but this is heavy. Beth confirms developmentally appropriate placement; may pull to 10-12 only with Heads Up.
A-065,eb66ab88-d998-4ff7-9de4-902c1e841a38,Stuart Little,E.B. White,"5-7, 8-10",independent,chapter-book,1945,False,A — 8-10 retag,retag,"5-6, 7-9",none,,"Stuart Little — 1945 E.B. White. Pre-1990, browse_visible likely False. Canonical. 5-6 read-aloud, 7-9 independent."
A-066,0b0ec8fb-264b-402d-b7f4-6c90636f0810,Summer at Squee,Andrea Wang,8-10,independent,chapter-book,2025,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Summer at Squee — Andrea Wang. Chinese American identity at summer camp. 7-9 to 10-12.
A-067,c53c654e-74ce-4533-949d-f2810f50a9e3,The Boy Who Harnessed the Wind (Young Readers Edition),William Kamkwamba & Bryan Mealer,8-10,independent,chapter-book,2015,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Boy Who Harnessed the Wind YRE — Kamkwamba/Mealer. Memoir of Malawian self-taught engineer. Famine/poverty context handled honestly. 7-9 to 10-12.
A-068,b05ba6b0-0128-43bd-8021-bbf22bf7262c,The Cricket in Times Square,George Selden,"5-7, 8-10",independent,chapter-book,1960,False,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Cricket in Times Square — 1960 Selden.
A-069,fbd33b8a-7fbb-45d1-8f43-8e7b039ac14c,The Eyes and the Impossible,Dave Eggers,8-10,independent,chapter-book,2023,True,A — 8-10 retag,retag,"7-9, 10-12",none,,Eyes and the Impossible — Eggers. Newbery Medal 2024. Free-dog park-narrator. Reads Artisan-Scholar.
A-070,33d7446f-af57-4170-90f6-6f3789f8b710,The First State of Being,Erin Entrada Kelly,8-10,independent,chapter-book,2024,True,A — 8-10 retag,retag,"7-9, 10-12",none,,First State of Being — Erin Entrada Kelly 2024 Newbery Medal. Time-travel + Y2K. 7-9 to 10-12.
A-071,29f0f6a1-50a4-4922-80f3-294584b2b302,The Great Brain,John D. Fitzgerald,"5-7, 8-10",independent,chapter-book,1967,False,A — 8-10 retag,remove-from-database,,amy-approved,,"REMOVED per Amy directive (pre-1990 books with period-framing concerns). Original audit rationale: Great Brain — 1967 Fitzgerald. Pre-1990, browse_visible likely False. Mormon Utah 1896 setting, scheming-older-brother humor. Period framing of Native peoples and immigrants needs Beth eyes-on."
A-072,31b4863b-8e82-4748-b9a4-1163dcf7195e,The Great Wall of Lucy Wu,Wendy Wan-Long Shang,8-10,independent,chapter-book,2011,True,A — 8-10 retag,retag,"7-9, 10-12",none,,"Great Wall of Lucy Wu — Wendy Wan-Long Shang. Chinese grandmother, Chinese American identity. 7-9 to 10-12."
A-073,95fcebf3-cdf9-43c0-ac28-b0f6cff897cc,The Hundred Dresses,Eleanor Estes,8-10,independent,chapter-book,1944,False,A — 8-10 retag,retag,"7-9, 10-12",none,,"Hundred Dresses — 1944 Eleanor Estes. Pre-1990, browse_visible likely False. Canonical bullying-and-regret. Companion to Each Kindness at older reader. 7-9 to 10-12."
A-074,b4a7aeec-7a55-4cd8-9a03-b51680f7a768,The Impossible Creatures,Katherine Rundell,"10-12, 8-10",independent,chapter-book,2023,True,A — 8-10 retag,remove-from-database,,amy-approved,,REMOVED per Amy directive (single-issue calls). Original audit rationale: Impossible Creatures — Katherine Rundell.
