"id","title","author","age_bands","flag_type","flag_reason","recommendation"
"8208aacc-9fd2-45b3-9232-49491af93863","Feathers","Jacqueline Woodson","10-12, 8-10","REVIEW","References a stillborn sibling; racial threat of violence against Black children in 1970s South is a sustained central theme.","Amy review required"
"4959a9ed-53c9-4580-bfa8-1304dc27c5c4","Freewater","Amina Luqman-Dawson","8-10","REVIEW","Slavery and the violence of enslavement (beatings, family separation, pursuit of escapees) are the central subject; graphic historical atrocity for ages 8-10 requires preview.","Amy review required"
"36e0e3e8-f9d3-4cb0-aa39-78b34ae9f1b1","Ghost","Jason Reynolds","10-12, 8-10","REVIEW","The protagonist witnessed his father shoot at his mother in a domestic violence incident. DB heads_up confirms this is the book's backstory and central emotional driver.","Amy review required"
"daa250b4-7d66-4871-9fda-614ad35b055a","Holes","Louis Sachar","10-12, 8-10","REVIEW","A character is attacked with a shovel; a historical murder (Kissin' Kate Barlow) is depicted; the work-camp-for-juveniles setting involves coercion and physical threat.","Amy review required"
"08cda9f3-8acc-48e1-83d7-16b88946f914","Inside Out & Back Again","Thanhha Lai","10-12, 8-10","REVIEW","Vietnamese refugee family flees Saigon at the fall; war displacement, cultural trauma, and refugee hardship are sustained central themes for ages 8-10.","Amy review required"
"7c358ffa-95ad-4623-b74e-853b092f1a58","Isaac's Storm","Erik Larson","10-12, 8-10","REVIEW","The 1900 Galveston hurricane killed up to 12,000 people; mass death and graphic destruction are detailed throughout for ages 10-12.","Amy review required"
"09186b58-6be2-490f-a7ff-7546e82c030f","Liesl and Po","Lauren Oliver","8-10","REVIEW","Death of the protagonist's father is the central plot catalyst; the girl is locked in an attic by an abusive stepmother for an extended period.","Amy review required"
"92e3b92b-4364-4c6c-9c35-bbb9358fbe3f","Little House on the Prairie","Laura Ingalls Wilder","5-7, 8-10","REVIEW","Contains sustained racist depictions of Native Americans including dehumanizing language that requires careful context-setting before use.","Amy review required"
"5edc4499-7a3d-42b0-8592-4e23d62dd329","Mama's Nightingale","Edwidge Danticat","5-7, 8-10","REVIEW","Father's immigration detention and family separation are the central emotional driver; the trauma of the immigration detention system is sustained throughout.","Amy review required"
"37e9422a-2f6a-48b4-868a-3553d24b40b0","Mama's Nightingale","Edwidge Danticat","8-10","REVIEW","Father's immigration detention and family separation are the central emotional driver; the trauma of the immigration detention system is sustained throughout.","Amy review required"
"3ead0025-7f48-4616-8cfe-6d74cf38d8ec","March: Book One","John Lewis & Andrew Aydin","10-12","REVIEW","Graphic depictions of civil rights protesters being beaten by police; violent racial history depicted in graphic novel format for ages 8-10/10-12.","Amy review required"
"52c52364-137b-4ccc-b35a-ab9dd3b54511","Merci Suarez Changes Gears","Meg Medina","10-12","REVIEW","Grandfather's advancing Alzheimer's and approaching death are the sustained emotional center of the narrative; heavy illness as primary subject.","Amy review required"
"235d81c3-07e5-4598-b55c-c77929f8759a","My Brother Sam Is Dead","James Lincoln Collier","10-12, 8-10","REVIEW","Sam is executed by a firing squad by his own side; his death and the family's grief are the central sustained emotional weight of the Revolutionary War narrative.","Amy review required"
"fad47cf1-f66d-42d4-ab7e-fb18f9f905a6","One Crazy Summer: The Graphic Novel","Rita Williams-Garcia","8-10","REVIEW","The mother abandoned her three daughters; maternal abandonment is the sustained traumatic emotional center of the entire narrative.","Amy review required"
"1104857e-7703-4187-9639-58d4cae33a73","Pancho Rabbit and the Coyote","Duncan Tonatiuh","2-4, 5-7","REVIEW","The Coyote is a predatory human smuggler who traps and endangers migrants crossing the border; human trafficking-adjacent themes for ages 5-7/8-10.","Amy review required"
"6a252879-9cb2-4bf1-b713-feb6d180ee26","Pax","Sara Pennypacker","10-12","REVIEW","A boy's father forces him to abandon his beloved pet fox before sending him away due to approaching war; war violence and wartime family trauma are central.","Amy review required"
"fd2ef516-38f6-43ed-8001-cec317d8afc3","Pax","Sara Pennypacker","10-12, 8-10","REVIEW","A boy's father forces him to abandon his beloved pet fox before sending him away due to approaching war; war violence and wartime family trauma are central.","Amy review required"
"9763a055-60e4-48f3-97d2-841ab652ce49","Saints of the Household","Ari Tison","10-12","REVIEW","Two brothers witness a physical assault. DB heads_up confirms ""Violence is the central event."" Physical abuse as primary subject matter.","Amy review required"
"361bb343-d4fc-4e73-929e-8176fa88eb7f","Seabiscuit: An American Legend","Laura Hillenbrand","10-12","REVIEW","Appears to be the full adult Hillenbrand text rather than a young readers edition; contains adult narrative scope, gambling detail, and horse-injury descriptions.","Amy review required"
"c3710846-ec68-4942-b206-47598434ad02","Ship Breaker","Paolo Bacigalupi","10-12","REVIEW","Graphic survival violence throughout; the villain is a drug lord (the protagonist's father); drug trade as background world-building in a dystopia for ages 10-12.","Amy review required"
"cda9ed1d-dc62-45b4-b001-703854cfff4c","Silenced Voices: Reclaiming Memories from the Guatemalan Genocide","Pablo Leon","10-12","REVIEW","Guatemalan genocide is the central subject; survivor testimony and descriptions of atrocity require careful evaluation for age-appropriateness.","Amy review required"
"d6d72bf9-4ead-484c-b7d8-409a4ede6c78","Stella by Starlight","Sharon M. Draper","10-12","REVIEW","A KKK cross-burning opens the book; sustained racial terrorism and the threat of violence against Black characters are central themes.","Amy review required"
"890e76d1-6372-4970-97e6-14adb69520b2","Summer of the Monkeys","Wilson Rawls","8-10","REVIEW","The boy's grandfather provides him alcohol as a folk remedy; depiction of an adult giving alcohol to a child.","Amy review required"
"14f8ee6a-81b8-43c7-8350-c7cdfaace2ec","The Fighting Ground","Avi","8-10","REVIEW","A 13-year-old boy experiences Revolutionary War combat; he witnesses killing and is traumatized by violence for ages 8-10.","Amy review required"
"0174b596-5ac5-4c05-943d-4da946075f3b","The Giver","Lois Lowry","10-12, 8-10","REVIEW","Society practices euthanasia (""release""); a baby is injected and killed on-page in a pivotal scene; systematic killing of inconvenient people is central to the dystopian world.","Amy review required"
"4cfa1fa4-4b0c-431c-9384-cd1fb227cf99","The House of the Scorpion","Nancy Farmer","10-12","REVIEW","Drug lord's clone raised for organ harvesting; drug trafficking is the economic backbone of the dystopia. DB heads_up confirms ""Organ harvesting.""","Amy review required"
"f8b0cc96-cd43-4552-bad2-cd5704a73d3f","The House with a Clock in Its Walls","John Bellairs","5-7, 8-10","REVIEW","A necromancer's countdown clock threatens to end all human life; occult and dark magic are the central conflict; may conflict with some families' religious values.","Amy review required"
"ca8182d8-22b2-4c57-9f2e-c1334b07d79a","The Hunger Games","Suzanne Collins","10-12","REVIEW","Children are forced to murder each other in a televised arena; the deaths of child characters are graphic and sustained throughout the narrative.","Amy review required"
"34fb3feb-155e-429c-9ff8-262dc4e170e4","The Leaving Room","Amber McBride","10-12","REVIEW","DB confirms the book is set in a realm all young people pass through when they die; death of young people is the explicit central subject matter.","Amy review required"
"de66f7f6-8391-4a0f-bd5c-5f912bbe17d8","The Maze Runner","James Dashner","10-12","REVIEW","Characters are killed by mechanical monsters throughout; boys die violently in the maze; the death toll is significant and on-page.","Amy review required"
"37d4090d-c526-45f5-b645-7e2765014c06","The Name of the Wind","Patrick Rothfuss","10-12","REVIEW","Adult epic fantasy with mature romantic content, morally complex violence, and adult themes throughout; not written for or appropriate for a children's curriculum platform.","Amy review required"
"6a8755c9-bca1-4a05-8c39-e22901dd426b","The One and Only Bob","Katherine Applegate","5-7, 8-10","REVIEW","Bob's backstory involves a dog-fighting ring; animal cruelty (dog fighting) is referenced in the plot as Bob searches for his sister.","Amy review required"
"901121c3-91e1-4707-8317-1a6ac8576343","The Ox-Bow Incident","Walter Van Tilburg Clark","10-12","REVIEW","Three innocent men are lynched by a vigilante mob; graphic injustice and the death of innocent characters are the central moral weight of the novel.","Amy review required"
"c1fbfc92-305d-48fc-b4e8-5edef509dfc4","The Pigman","Paul Zindel","10-12","REVIEW","Two teenagers' reckless and callous behavior contributes to the death of the elderly Pigman; teen culpability for an old man's death is the central moral weight.","Amy review required"
"99a9efaa-d7d1-4760-bbb2-c2c2ee117738","The Red Badge of Courage","Stephen Crane","10-12","REVIEW","Civil War battle violence and death are depicted graphically; soldiers die on-page and the protagonist struggles with cowardice and psychological trauma.","Amy review required"
"4752d2dc-599d-4cde-beb0-deda966f30da","To Kill a Mockingbird","Harper Lee","10-12","REVIEW","A rape trial is the central plot; racial slurs appear throughout the text; the false rape accusation against a Black man by a white woman is the moral center.","Amy review required"
"69abb751-9a8a-420a-9431-2947e3a95250","Tuck Everlasting","Natalie Babbitt","5-7, 8-10","REVIEW","Mae Tuck kills a man (the Man in Yellow Suit) by striking him on the head with a gun barrel; on-page killing is a pivotal plot event.","Amy review required"
"140143b2-3f6d-4100-9e97-5406f33d1f33","Tuck Everlasting: The Graphic Novel","Natalie Babbitt","10-12, 8-10","REVIEW","Same content as the source novel: Mae Tuck's killing of the Man in Yellow Suit is depicted in graphic novel format.","Amy review required"
"64786a7e-2554-43b3-a1d6-269c03c9e3fa","A Different Pond","Bao Phi","2-4, 5-7","CLEAN","","Keep"
"b1858f24-47bf-4366-9c8a-6f8b6a7a1beb","A Drop of Water","Walter Wick","5-7, 8-10","CLEAN","","Keep"
"720a7d1a-2fb2-4e06-b397-8aaad0d36d68","A House for Hermit Crab","Eric Carle","2-4","CLEAN","","Keep"
"fb45189c-ae1c-4c48-afa1-d28b2f08acd8","A Rover's Story","Jasmine Warga","5-7, 8-10","CLEAN","","Keep"
"3c1799aa-25ec-4752-9c91-ac56f07b35cf","A Sea of Lemon Trees: The Corrido of Roberto Alvarez","María Dolores Águila","10-12, 8-10","CLEAN","","Keep"
"f64f1281-5773-481e-aa59-a2396bb0ff9e","A Seed Grows","Antoinette Portis","2-4, 5-7","CLEAN","","Keep"
"8515ce41-7c3f-4946-b367-6eb0fba6f064","A Window into the Ocean Twilight Zone","Michelle Cusolito","8-10","CLEAN","","Keep"
"3e69cb1a-89cd-42dd-aebf-08e56f5f3777","A-Ztec: A Bilingual Alphabet Book","Emmanuel Valtierra","2-4, 5-7","CLEAN","","Keep"
"f85b79c7-dab3-4d8c-af2f-0722efba8aec","Across So Many Seas","Ruth Behar","10-12","CLEAN","","Keep"
"843303ec-5968-4384-a319-452755e169fb","Actual Size","Steve Jenkins","5-7, 8-10","CLEAN","","Keep"
"dc1d1d42-ddf4-4135-939f-a38df5639ba3","Afloat","Kirli Saunders","5-7","CLEAN","","Keep"
"25a09dce-3b01-46a5-8331-4d101a250924","Aggie and the Ghost","Matthew Forsythe","2-4","CLEAN","","Keep"
"d3164fcf-8b5e-454e-85e4-f3093c87b7a9","Al Capone Does My Shirts","Gennifer Choldenko","10-12, 8-10","CLEAN","","Keep"
"2b83a332-fb31-482e-a34b-f46ab56e3b5b","Alberto Salas Plays Paka Paka con la Papa","Sara Andrea Fajardo","2-4, 5-7","CLEAN","","Keep"
"61c912a2-2699-4243-907c-9e6899cb2c98","Alexander and the Terrible Horrible No Good Very Bad Day","Judith Viorst","2-4, 5-7","CLEAN","","Keep"
"e6420aaf-1a25-4930-9f0d-ba75334893dc","Amelia Bedelia","Peggy Parish","5-7","CLEAN","","Keep"
"ee11b13e-205c-4778-a5af-89d1ec1f4199","American Murderer: The Parasite That Haunted the South","Gail Jarrow","10-12","CLEAN","","Keep"
"08613378-9b11-458d-98ca-edcde44e7272","Amina's Voice","Hena Khan","8-10","CLEAN","","Keep"
"becc0e7e-b20e-4141-8b9c-cd750c8c5ab3","Anything","Rebecca Stead","2-4, 5-7","CLEAN","","Keep"
"0b6f5c1e-fb5c-44b3-a092-88c2bd1a4876","At the Window","Hope Lim","2-4, 5-7","CLEAN","","Keep"
"bfe96837-cc37-4a92-bebd-3c915c74752b","Beautiful Oops","Barney Saltzberg","2-4","CLEAN","","Keep"
"bb09c5f5-da2c-41f0-932f-40008ee4a227","Bee Dance","Rick Chrustowski","5-7","CLEAN","","Keep"
"e93977d6-f035-4871-8148-3a25f2d78a1e","Before Colors: Where Pigments and Dyes Come From","Annette Bay Pimentel","5-7","CLEAN","","Keep"
"800fea57-6662-4603-ba6a-713c9dddd4d5","Ben Franklin's Almanac","Candace Fleming","5-7, 8-10","CLEAN","","Keep"
"956c46e8-1222-4426-b6f4-8a5b5befcb49","Benny on the Case","Wesley King","10-12, 8-10","CLEAN","","Keep"
"f938c883-c767-4295-a10c-bfab15d77719","Big","Vashti Harrison","2-4, 5-7","CLEAN","","Keep"
"31a38fbb-d870-4725-b154-298e1993bd82","Blast Off!: The Story of Mary Sherman Morgan, America's First Female Rocket Scientist","Suzanne Slade","5-7","CLEAN","","Keep"
"ecb5ab1f-95d8-4715-8323-d001546e9099","Blockhead: The Life of Fibonacci","Joseph D'Agnese","5-7, 8-10","CLEAN","","Keep"
"d5f135cf-43f0-47fa-b8e4-03e5ddaa14a1","Blockhead: The Life of Fibonacci","Joseph D'Agnese","5-7, 8-10","CLEAN","","Keep"
"30a2566e-39e9-4ee2-afa7-d61909179798","Blueberries for Sal","Robert McCloskey","2-4","CLEAN","","Keep"
"d7acaf08-7965-4c79-9132-d4b5d5fa6a9d","Botticelli's Apprentice","Ursula Murray Husted","10-12, 8-10","CLEAN","","Keep"
"b57183ab-d9a4-4f90-90da-6ea888345ecb","Bounce! The Wonderful, Wacky, World-Changing History of Rubber","Sarah Albee","5-7, 8-10","CLEAN","","Keep"
"1bf4d23c-e1d8-4670-a224-9a1375e1260a","Boxes for Katje","Candace Fleming","5-7","CLEAN","","Keep"
"8e478229-9125-411e-b7b8-7a51dc714b93","Brave","Weshoyot Alvitre","5-7","CLEAN","","Keep"
"9bf459f7-ad66-4fed-a9e8-021ac99d3177","Brave Irene","William Steig","2-4, 5-7","CLEAN","","Keep"
"18a6f7b1-1724-4ec6-bf32-329d21c67619","Brown Girl Dreaming","Jacqueline Woodson","10-12","CLEAN","","Keep"
"e9cf5467-a803-4722-8cfb-e03685c7c917","Brown Girl Dreaming","Jacqueline Woodson","10-12","CLEAN","","Keep"
"c20f6e38-458d-498e-99fd-888520897f47","Building Our House","Jonathan Bean","5-7","CLEAN","","Keep"
"c020343b-3a94-4274-b6bb-e332c9d1ddcd","Busted","Dan Gemeinhart","8-10","CLEAN","","Keep"
"8fc585a6-3849-4abe-9b04-e29313b05529","By the Great Horn Spoon!","Sid Fleischman","5-7, 8-10","CLEAN","","Keep"
"adbdfed4-533a-4cd6-91be-f3af0d023496","Call Me Roberto!: The Story of Roberto Clemente","Nathalie Alonso","5-7, 8-10","CLEAN","","Keep"
"c6dbe5d7-1c9f-4315-be27-2f89f0d3cea5","Caps for Sale","Esphyr Slobodkina","2-4","CLEAN","","Keep"
"8281d83d-6021-4a50-b82a-5a03cf32197a","Castle","David Macaulay","10-12, 8-10","CLEAN","","Keep"
"74fca92f-7b4c-4fb8-ae2a-faf42357682e","Cece Loves Science","Kimberly Derting","5-7","CLEAN","","Keep"
"fa6321a2-dc99-44c0-bf99-c6c9e1c68fe7","Charlotte's Web","E.B. White","5-7, 8-10","CLEAN","","Keep"
"a3f0255d-20da-4d4c-98bc-c8f957a187f9","Chasing Vermeer","Blue Balliett","8-10","CLEAN","","Keep"
"48978b94-9845-4908-be85-85e77a60edae","Chicka Chicka Boom Boom","Bill Martin Jr.","2-4","CLEAN","","Keep"
"0b93858b-1484-42c5-993b-59aa28e6a98c","Chooch Helped","Andrea L. Rogers","2-4, 5-7","CLEAN","","Keep"
"25aba46b-c9ce-40d3-be9c-a0e32a8a8c07","Chrysanthemum","Kevin Henkes","2-4, 5-7","CLEAN","","Keep"
"8b2ea0be-bf21-4a2c-a4c0-bba3e132b99a","Clementine","Sara Pennypacker","5-7","CLEAN","","Keep"
"ad2a033f-c5f0-4e35-bbeb-2e736bbba0f4","Click Clack Moo: Cows That Type","Doreen Cronin","2-4, 5-7","CLEAN","","Keep"
"4ed65746-1652-494c-95fd-649d3f1053b9","Clifford the Big Red Dog","Norman Bridwell","2-4","CLEAN","","Keep"
"6da4c965-62db-4138-9f65-faba4c100ebe","Corduroy","Don Freeman","2-4","CLEAN","","Keep"
"1f2900b1-9c81-4b0e-a4e5-dd2e47d20cb6","Count on Me","Miguel Tanco","2-4","CLEAN","","Keep"
"a139a139-2319-4d73-84e3-517400c4e03a","Counting on Katherine","Helaine Becker","8-10","CLEAN","","Keep"
"6afdb8b6-c7b4-4608-a2f6-7879808da19c","Creep, Leap, Crunch! A Food Chain Story","Jody Jensen Shaffer","5-7","CLEAN","","Keep"
"6acd87a9-74c3-4720-84c0-14a9f636d84e","Creepy Carrots!","Aaron Reynolds","2-4","CLEAN","","Keep"
"07b8665d-05d3-45a6-9122-8726aa6aca95","Croco","Azul López","2-4","CLEAN","","Keep"
"fa8c4a5b-89cd-4af5-8030-aac43141dcef","Dark Nights and Light Hearts: A Muslim Book of Opposites","Hena Khan","2-4","CLEAN","","Keep"
"7c8af3b6-effe-4be0-ac84-d509ed9734da","Dawn: Watch the World Awaken","Marc Martin","2-4","CLEAN","","Keep"
"059bbc49-9742-4eae-8200-2bbd64e79188","Diary of a Spider","Doreen Cronin","2-4, 5-7","CLEAN","","Keep"
"ff3e0389-e6f9-4b05-965b-39e3b5586f77","Diary of a Worm","Doreen Cronin","2-4, 5-7","CLEAN","","Keep"
"d4217ade-e4f8-446c-8d5c-ff1428961ed6","Digging Up Dinosaurs","Aliki","5-7","CLEAN","","Keep"
"684ebd3f-446d-4e68-b20a-dd5fe819d7d9","Doctor De Soto","William Steig","2-4, 5-7","CLEAN","","Keep"
"7b780b79-8ed2-4fb4-9559-f8031e1c0a18","Don't Let the Pigeon Drive the Bus","Mo Willems","2-4","CLEAN","","Keep"
"2b0e837b-e50b-40db-8a86-75aedd4f2a23","Don't Trust Fish","Neil Sharpson","2-4, 5-7","CLEAN","","Keep"
"864002ca-20a7-446f-acdf-f3e561045a4b","Dragon Flower","Chen Jiang Hong","5-7","CLEAN","","Keep"
"c4bb0ab6-ee4c-4a3f-86fc-9666f291e713","Dragons Love Tacos","Adam Rubin","2-4","CLEAN","","Keep"
"c00d0d42-e25d-45d2-aa3b-84605898acb2","Drawn Onward","Daniel Nayeri","2-4, 5-7","CLEAN","","Keep"
"9ecafe57-379b-4883-a410-b5f095437989","Drum Dream Girl","Margarita Engle","2-4, 5-7","CLEAN","","Keep"
"6ce545e9-8d59-40fb-87ca-0f66818d56bf","Duck and Goose","Tad Hills","2-4","CLEAN","","Keep"
"30f5f7bf-b39d-4dc2-ba26-1529a3e755ed","Dune","Frank Herbert","10-12","REMOVE","The spice melange — an explicitly addictive mind-altering drug — is the central substance and plot driver throughout; Guild Navigators and Fremen are depicted as addicted. Automatic ban: substance use/drugs.","Remove immediately"
"41bb9133-6ede-4b29-8ee1-6dced433001c","Each Kindness","Jacqueline Woodson","5-7, 8-10","CLEAN","","Keep"
"4d8b90ca-7eba-4dd6-a1fc-87267e1eaef6","Eagle Drums","Nasugraq Rainey Hopson","8-10","CLEAN","","Keep"
"b9e3cac1-06cd-4d6c-a8c5-255a4d2a3a1c","Earthrise: How the Apollo 8 Crew Photographed the World","Leonard S. Marcus","10-12, 8-10","CLEAN","","Keep"
"b749b3a3-bedc-41dc-844c-afa21fa81009","Elf Dog and Owl Head","M.T. Anderson","8-10","CLEAN","","Keep"
"aa6d9b53-68b4-4d6f-804d-30858fe9501d","Enemy Pie","Derek Munson","2-4, 5-7","CLEAN","","Keep"
"15e30545-0363-4363-918c-ee586100d1f8","Ethan Frome","Edith Wharton","10-12","REMOVE","Adultery is the central plot and the climax is a mutual suicide attempt (the sled smashup) by the two lovers. Automatic bans: sexual content + suicide.","Remove immediately"
"a826ccf7-f052-446d-8946-ce11ace0ce49","Every Monday Mabel","Jashar Awan","2-4","CLEAN","","Keep"
"f547f4a0-0624-44fb-b4d6-6d6a664ca59c","Everywhere, Wonder","Matthew Swanson","2-4","CLEAN","","Keep"
"2169090a-3ba3-4389-9d59-96a6313928d2","Extra Yarn","Mac Barnett","2-4, 5-7","CLEAN","","Keep"
"3c0fc575-d2af-4436-96f2-a7e6463a2ff3","Fablehaven","Brandon Mull","8-10","CLEAN","","Keep"
"e616e2ea-24f7-45d4-8767-65b81505b43a","Fireworks","Matthew Burgess","2-4, 5-7","CLEAN","","Keep"
"be1f945f-4b45-4c5e-bd65-232dbd7fbd2c","Fish and Wave","Sergio Ruzzier","2-4, 5-7","CLEAN","","Keep"
"19013de9-4f4a-4440-a09e-892784d69cba","Flat Stanley","Jeff Brown","5-7","CLEAN","","Keep"
"9d4e9dea-4b4e-4e70-ab09-5e5ceb712b8d","Flower Talk","Sara Levine","5-7","CLEAN","","Keep"
"145e26b0-1c36-4a02-886e-8b1583875661","Fox Has a Problem","Corey R. Tabor","2-4, 5-7","CLEAN","","Keep"
"b5c2d026-d29b-4f9d-b5c2-c24ce733a0fd","Fox Versus Fox","Corey R. Tabor","2-4, 5-7","CLEAN","","Keep"
"fe9950f6-4eab-4252-a098-de25830ae124","Frederick","Leo Lionni","2-4, 5-7","CLEAN","","Keep"
"58924788-0849-4803-9668-dcb1a1af3465","Freight Train","Donald Crews","2-4","CLEAN","","Keep"
"c33a58b7-cfb2-4498-9b8e-1edf2d3c3cd6","Frizzy","Claribel A. Ortega","5-7, 8-10","CLEAN","","Keep"
"f0247dc5-ea52-4988-a520-1b58c49846fa","Frog and Toad Are Friends","Arnold Lobel","2-4, 5-7","CLEAN","","Keep"
"a06d73c5-0ef8-4cd0-98b5-1323a742ad62","From Seed to Plant","Gail Gibbons","2-4, 5-7","CLEAN","","Keep"
"69651b0d-0e1b-4fd2-b7f2-f7380a2c99c3","Full Moon","Michael Light","10-12, 8-10","CLEAN","","Keep"
"e399a9c3-7c4a-416a-b9bf-7c5a8c329a62","Gentle Ben","Walt Morey","5-7, 8-10","CLEAN","","Keep"
"0e90b8a7-1aac-409a-9910-10ec840296a5","George and Martha","James Marshall","2-4","CLEAN","","Keep"
"ea2a918c-ba66-4d0b-8035-daa668fade8e","Gigi and Ojiji","Melissa Iwai","2-4, 5-7","CLEAN","","Keep"
"aff545fa-511e-4399-b6b4-1c2029ee0b53","Goodnight Gorilla","Peggy Rathmann","2-4","CLEAN","","Keep"
"99dab38b-e906-4cbb-a14d-7c3662017d9c","Goodnight Moon","Margaret Wise Brown","2-4","CLEAN","","Keep"
"4c6cbef2-3a58-4893-a552-b23f766ac041","Grand Canyon","Jason Chin","5-7, 8-10","CLEAN","","Keep"
"38e98c70-3730-4e7e-b648-680b37a629ba","Grandmother's Dreamcatcher","Becky Ray McCain","5-7","CLEAN","","Keep"
"442c6618-0291-4ea9-a376-dbcf47383b48","Green Eggs and Ham","Dr. Seuss","2-4","CLEAN","","Keep"
"699cfa9d-6654-47af-89dc-d0fec191f638","Greenglass House","Kate Milford","10-12","CLEAN","","Keep"
"2c233aaf-1132-4bf9-aeea-0f93cf6f1b4f","Grief Is an Elephant","Tamara Ellis Smith","5-7","CLEAN","","Keep"
"6c4b17d3-91d8-43ca-9693-1c943fabd262","Growing Vegetable Soup","Lois Ehlert","2-4","CLEAN","","Keep"
"85bea2e1-c46a-4df7-84c4-768780144e69","Grumpy Monkey","Suzanne Lang","2-4","CLEAN","","Keep"
"ba0c7b74-edef-46b9-ac5f-5e492144459c","Hair Love","Matthew A. Cherry","2-4, 5-7","CLEAN","","Keep"
"0d1302d0-b5cf-4e39-a4c0-359f0622f804","Harold and the Purple Crayon","Crockett Johnson","2-4","CLEAN","","Keep"
"6a24899d-cfae-4ce2-b045-c6756c48997a","Harriet the Spy","Louise Fitzhugh","5-7, 8-10","CLEAN","","Keep"
"2f9736ef-8086-4778-97f1-cbffe7f47ad3","Hatchet","Gary Paulsen","10-12, 8-10","CLEAN","","Keep"
"b9047b0e-4fd9-4b85-a6bf-2c3a7a8ad052","Hatchet","Gary Paulsen","10-12, 8-10","CLEAN","","Keep"
"37f69898-b81f-41eb-bd07-ff6c2cc1cd6f","Hello, Stranger","Barbara O'Connor","5-7, 8-10","CLEAN","","Keep"
"7bc55181-dde1-4725-9bf3-d59f4817b557","Henry, Like Always","Jenn Bailey","2-4, 5-7","CLEAN","","Keep"
