audit_index,id,title,author,year_published,current_bands,decision,new_bands,rationale,beth_review_flag
J-017,2169090a-3ba3-4389-9d59-96a6313928d2,Extra Yarn,Mac Barnett,2012,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9",Barnett's economic concept of abundance (an inexhaustible resource reveals character and transforms community) and the archduke's greed as a lesson in scarcity thinking give 7-9 genuine philosophical content; Klassen's layered visual storytelling rewards careful reading at this band.,
J-018,e616e2ea-24f7-45d4-8767-65b81505b43a,Fireworks,Matthew Burgess,2025,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The light physics and urban geography content are present but delivered at visual picture-book density without the concept depth to sustain 7-9 engagement; the Caldecott-winning illustration experience is the primary value, which doesn't substitute for textual or conceptual weight at this band.",
J-019,be1f945f-4b45-4c5e-bd65-232dbd7fbd2c,Fish and Wave,Sergio Ruzzier,2022,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Early-reader chapter format requires sustained reading comprehension that pre-literate 3-4 cannot follow; the abstract philosophical question of friendship with something always moving also exceeds Wonderer's concrete-operational ceiling.,
J-020,145e26b0-1c36-4a02-886e-8b1583875661,Fox Has a Problem,Corey R. Tabor,2023,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Early-reader chapter format and the abstract logic of problem-definition (each animal solves the wrong problem) exceed Wonderer's pre-literacy requirement and concrete-operational thinking; the escalating mismatched-solutions structure requires sustained narrative comprehension beyond 3-4 attention span.,
J-021,b5c2d026-d29b-4f9d-b5c2-c24ce733a0fd,Fox Versus Fox,Corey R. Tabor,2024,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Early-reader format and the abstract identity/authenticity concept (which of two identical characters is 'real'?) both exceed Wonderer's concrete-operational and pre-literacy requirements; the comparison structure presupposes reading ability.,
J-022,fe9950f6-4eab-4252-a098-de25830ae124,Frederick,Leo Lionni,1967,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The philosophical question 'what counts as useful labor in a community?' deepens for 7-9 who can engage the economics and ecology of invisible creative work; each reading yields a different layer — 3-4 the mice and seasons, 7-9 the community-utility argument and its answer.",
J-023,a06d73c5-0ef8-4cd0-98b5-1323a742ad62,From Seed to Plant,Gail Gibbons,1991,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The labeled-diagram nonfiction format is excellent for 5-6 science learners but underdense for 7-9 who need greater concept depth in plant biology; Gibbons designs this as a foundation text, not a primary resource for fluent readers with developing domain interests.",
J-024,ea2a918c-ba66-4d0b-8035-daa668fade8e,Gigi and Ojiji,Melissa Iwai,2022,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9","Early-reader chapter format doesn't support pre-reader engagement; the nonverbal-communication-across-language-barrier concept, while emotionally resonant at all ages, is delivered through a chapter structure that pre-readers cannot independently follow or meaningfully track as a read-aloud.",
J-025,ba0c7b74-edef-46b9-ac5f-5e492144459c,Hair Love,Matthew A. Cherry,2019,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The emotional depth of Mom's revealed absence (cancer treatment implied) elevates this beyond a hair-styling story for 7-9; the texture science, Black hair cultural knowledge, and fatherhood-as-practice theme give all three bands substantive content at different registers.",
J-026,7bc55181-dde1-4725-9bf3-d59f4817b557,"Henry, Like Always",Jenn Bailey,2023,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Early-reader chapter format disqualifies Wonderer; the predictable-sequence structure and routine-anxiety content are calibrated for the emerging reader's literacy development and cannot be delivered effectively as a pre-reader read-aloud.,
J-027,6df0d6b8-5528-486b-ac8d-7af57da421ed,Hot Dog,Doug Salati,2022,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","Hot Dog is primarily a sensory and emotional experience book; the urban ecology and heat science are present but at visual picture-book surface density, leaving no second layer of conceptual substance for a fluent 7-9 reader who decodes the dog's-eye-view premise quickly.",
J-028,665c09d6-2481-4644-aaa9-8453d527439e,How a House Is Built,Gail Gibbons,1990,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The complete technical construction sequence (surveying, foundation, framing, roofing, plumbing, electrical, finishing — each trade named and visualized) carries genuine engineering content across all three bands; 7-9 bring developing systematic thinking to the trade vocabulary and professional sequence.",
J-029,a0a9265c-c1e6-42f8-a89a-d4218e91eac3,How Dinosaurs Went Extinct: A Safety Guide,Ame Dyckman,2023,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","Real paleontology and mass extinction science (Chicxulub asteroid impact, climate change, food chain collapse) embedded in absurdist safety-poster format gives 7-9 both the comedy structure to appreciate and the genuine science to extract; each band engages a different layer of the same double-coded content.",
J-030,a3ee120a-fd01-4952-8d48-c095a9c4ca8a,How to Count to 1,Casper Salmon,2023,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The cardinality and visual-counting concept is foundational mathematics already mastered by 7-9; the mathematical comedy (count one thing in a spread full of many) lands once but offers no expanding layer for a fluent reader with established number sense.,
J-031,1ec03ea0-db35-4e75-b6e0-3a16a9a54ee0,How to Hatch: A Gosling's Guide to Breaking Free,Sara Holly Ackerman,2026,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","Pre-reader text density and single-topic biological focus (egg hatching mechanics: air cell, pip reflex, shell-breaking) present real science at a density too thin for 7-9 primary content; the entry-level biology does not expand into the depth 7-9 domain science learners need.",
J-032,941f636f-b69a-400d-a8f4-ccf669a9220e,I Did It!,Michael Emberley,2022,"3-4, 5-6, 7-9",demote-3-4-and-7-9,5-6,"Early-reader chapter format disqualifies Wonderer; at 7-9 the simple-sentences/repetition structure and tiny-triumph self-efficacy concept read as calibrated for the 5-6 band — the gap between tiny accomplishment and enormous pride is developmentally a 5-6 insight, not a 7-9 one.",
J-033,ee80fc08-e859-41e1-9112-a219cd469a82,"I Hear the Snow, I Smell the Sea",Janice Milusich,2025,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Early-reader reading level and the abstract sensory neuroscience concept (perceiving the environment differently) exceed Wonderer's concrete-operational requirement; Raschka's expressionist illustration style doesn't provide the sequential visual narrative pre-readers need to follow the story independently.,
J-034,69c7aa1b-e76e-4d86-831f-4e11bf64564b,I Like Myself!,Karen Beaumont,2004,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The affirmation-rhyme format and body vocabulary content are calibrated for pre-readers and kindergartners; at 7-9 the concept density and register read as 'for little kids' without a second layer — a fluent reader processes the entire text in under 2 minutes.,
J-035,8bbb56d2-d371-4708-aa59-6fa2c6c27214,"Iggy Peck, Architect",Andrea Beaty,2007,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","Real architecture and landmark references, engineering physics, and art history content give 7-9 substantive academic hooks; Beaty's sophisticated rhyming verse doesn't read as baby-register and the STEM content carries for domain-interested Artisans building on prior knowledge.",
J-036,867cc1c0-1217-4cab-8e58-84b3563a9951,Invisible Things,Andy J. Pizza,2023,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The layered invisible-force framework (physics: gravity, magnetism, sound waves; biology: growth, digestion; philosophy: friendship and love) carries genuine concept density for all three bands; 7-9 engage the scientific vocabulary as real science alongside the philosophical dimension.",
J-037,4fe5696f-a74f-4be2-8a83-2bfd6a63a725,Ish,Peter Reynolds,2004,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The perfectionism-permission concept is relevant at 7-9 but delivered at picture-book density with no expanding second layer; a fluent reader grasps the 'ish' concept immediately and finds nothing new to extract from the brief text and simple narrative.,
J-038,dd309e54-98ed-48e5-a3ab-16a0542017f8,Lilly's Purple Plastic Purse,Kevin Henkes,1996,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The relational rupture arc (impulse → consequence → regret → repair → forgiveness), while emotionally accurate, is compressed into a K-1 mouse picture book that 7-9 readers decode immediately — no conceptual second layer requires this band's cognitive capacity.",
J-039,74adedf5-42d5-44e9-91b7-58f26aa8b2d8,Mama Miti: Wangari Maathai and the Trees of Kenya,Donna Jo Napoli,2010,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The layered biography/history/science/geography content (Wangari Maathai's Nobel-winning environmental activism, Kenyan geography, political history of the Green Belt Movement) carries genuine academic depth; 7-9 studying world history and environmental science engage this as primary content.",
J-040,afe8975e-de44-4f66-b232-0a93212ab7ba,Maybe Something Beautiful,F. Isabel Campoy & Theresa Howell,2016,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The real-world civic art content (Barrio Logan Urban Art Trail, community organizing as civic infrastructure, color theory as collective action) gives 7-9 substantive content in art history and civics; Lopez's authentic mural illustrations add place-based and art history dimensions.",
J-041,cdafec6b-7f9b-4469-98cc-2ba297387371,Mike Mulligan and His Steam Shovel,Virginia Lee Burton,1939,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The economic history content (technological obsolescence, labor displacement by diesel, civic infrastructure investment) and Burton's intricate architectural pen-and-ink illustrations carry genuine historical and engineering substance for 7-9 beyond the machine-story surface.",
J-042,afdd6964-9729-4b39-bc67-7e61f4ec1abd,My Daddy Is a Cowboy,Stephanie Seales,2025,"3-4, 5-6, 7-9",flag-for-amy,"3-4, 5-6, 7-9","Empty orbital_description field prevents proper band-fit evaluation; subjects field lists social-emotional only, which suggests the Artisan (7-9) band may be a forced fit, but Amy should confirm concept depth before demoting — specifically whether Black cowboy representation and fatherhood content carry a second layer for 7-9.",review
J-043,67c7c414-aa58-4089-9c10-479bf96067ab,Nell Plants a Tree,Anne Wynter,2023,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The philosophy of planting what you won't see fully grown, multigenerational community history, and forest ecology through a complete tree life cycle carry genuine depth for 7-9; Miyares's time-passage illustrations (changing light and season across generations) are artistically sophisticated.",
J-044,d857f408-25a5-4b40-b85c-2b0847a94aad,Officer Buckle and Gloria,Peggy Rathmann,1995,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The trust-collapse and partnership-repair content is genuine but packaged in a K-2 comedy picture book without concept density to engage 7-9; the safety-rule content is calibrated for younger children and a fluent reader fully processes the trust arc in a single sitting.,
J-045,d5fec630-3776-41c7-9ede-018d1df57c84,Once Upon a Book,Grace Lin,2023,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Literary self-reference and narrative meta-cognition require an existing reader's relationship to books that pre-literate 3-4 haven't yet formed; the recursive structure (girl enters her own book) lands only once a child already reads and understands books as objects with interiors.,
J-046,c37d386a-384f-4ebc-a192-d022a160982c,Over and Under the Pond,Kate Messner,2017,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The above/below pond ecosystem split is an elegant structural concept but is presented at picture-book density insufficient for 7-9; the ecological detail (species listed above and below the water line) doesn't reach the depth a 7-9 science learner needs as primary content.,
J-047,5280e340-b84c-45df-aa64-ab6c93be3436,Owl and Penguin,Vikram Madan,2022,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Early-reader chapter format disqualifies Wonderer; the nocturnal/diurnal biological conflict is presented through a chapter structure that pre-readers cannot independently follow or sustain as a read-aloud.,
J-048,413fd0ea-1b8e-412e-a3c8-8fb52e1614ea,Owl Moon,Jane Yolen,1987,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","Yolen's elevated prose style is substantive for 7-9 who can appreciate poetic nature writing as a craft; the winter ecology science (owl species, nocturnal behavior, patient observation as scientific method) and the 'art of stillness' give 7-9 both literary and scientific content.",
J-049,e1799254-5eb7-47d1-80a4-53498c75d9a3,Popo the Xolo,Paloma Angelina Lopez,2025,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9",Aztec underworld mythology and pre-Columbian Mexico geography require prior cultural knowledge that exceeds 3-4's concrete-world frame; the early-reader reading level and mythology layer both push above Wonderer's pre-literacy and concrete-operational requirements.,
J-050,b99bb54f-d140-4be5-9905-868da408ea9d,"Rosie Revere, Engineer",Andrea Beaty,2013,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The WWII historical context (Rosie the Riveter reference), engineering design cycle (failure as iteration data), and growth mindset philosophy give 7-9 substantive content; Beaty's sophisticated verse and the Great-Great-Aunt Rose biographical anchor carry literary depth beyond the invention comedy.",
J-051,b843eeb9-cbac-46e8-91f8-67528a761b72,Roxaboxen,Alice McLerran,1991,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The childhood geography and social-play concepts, while meaningful, are presented at picture-book density; a 7-9 navigating complex real social structures finds the Roxaboxen model (pebbles and broken glass as social architecture) too simplified to engage as primary content.",
J-052,3374fa70-9372-46c2-84a2-d4de5f808858,Sam and Dave Dig a Hole,Mac Barnett,2014,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","Genuine geological content (underground layers, diamond formation, what lies beneath) paired with Barnett's narratively sophisticated circular ending (the mystery children must solve to understand what happened) gives 7-9 both scientific and literary content; Klassen's illustrations carry visual puzzle depth.",
J-053,fc2b9d38-99f0-470f-8f2f-dc896bb523ee,Stellaluna,Janell Cannon,1993,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The bat biology content (echolocation, nocturnal behavior, fruit-eating adaptations) and the biology appendix specifically serve older readers; the identity theme (belonging vs. being yourself) is authentic 7-9 territory as peer pressure intensifies, giving this genuine dual-register substance.",
J-054,3812272a-c4ae-4966-9f81-d93ab32544bd,Stop That Mop!,Jonathan Fenske,2025,"3-4, 5-6, 7-9",demote-3-4-and-7-9,5-6,"Early-reader format disqualifies Wonderer; at 7-9 the escalating-comedy cause-and-effect concept and early-reader density are calibrated for the 5-6 band (Geisel Award target: beginning readers), reading as conceptually thin for fluent 7-9 readers who have long internalized compounding-problem narrative structure.",
J-055,32efc50d-50b3-4b06-b7d8-590d66b9e9d8,Sulwe,Lupita Nyong'o,2019,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The astronomy content (star formation, light/shadow mechanics in the Day-Night fable), colorism as a social-cultural concept, and Kenyan visual culture through Harrison's illustrations give 7-9 substantive multi-domain content; the cosmological fable is sophisticated enough to carry at this band.",
J-056,75af5533-9a1e-4b78-ac74-82ed89b7d115,Swimmy,Leo Lionni,1963,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",Swimmy's ocean ecosystem and schooling-as-defense concept are scientifically accurate but presented at pre-reader picture-book density; the cooperation lesson is familiar territory for 7-9 and the brief text offers no second layer requiring this band's cognitive capacity.,
J-057,ef7c753b-eecf-48fb-a364-2f8eb23b3f2e,The Arguers,Corinna Luyken,2025,"3-4, 5-6, 7-9",demote-3-4,"5-6, 7-9","Early-reader reading level and the meta-quality of argument-as-narrative-structure exceed Wonderer's concrete-operational ceiling; the fairy tale logic framing requires genre familiarity pre-readers haven't yet built, making the recursive joke inaccessible at the 3-4 band.",
J-058,22e98cd3-6db4-4346-b4ac-df8b770c97bf,The Day the Crayons Quit,Drew Daywalt,2013,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The letter-format persuasive writing structure and color psychology content (each crayon's complaint encodes real color associations: red=overwork, white=invisibility, blue=scale) carry genuine instructional substance for 7-9 writing learners; the professional-communication meta-level lands specifically at this band.",
J-059,51b5caee-1c68-41db-8be6-a053df58b774,The Dot,Peter H. Reynolds,2003,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The artistic confidence and color theory content are delivered at picture-book density; a 7-9 grasps the mentorship-and-permission theme immediately and the brief text offers no second conceptual layer to sustain engagement by a fluent reader.,
J-060,7898ea87-a970-4736-aed4-4853c99e7a04,The Keeping Quilt,Patricia Polacco,1988,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The multigenerational immigration history, textile arts as memory archive, and Polacco's real family biography give 7-9 substantive content across history, craft, and cultural transmission; each generation adding to the quilt's story models how objects carry history — a genuinely sophisticated concept for this band.",
J-061,7b51ed13-7aff-498d-bef0-5917d58b88fd,The Listening Walk,Paul Showers,1991,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The sound physics content is presented at neighborhood-observation level — onomatopoeia and listening attention — insufficient for 7-9; a fluent reader decodes the entire scientific content of the walk in under 4 minutes with no second layer requiring Artisan-level engagement.,
J-062,ef8874ad-9b6f-4064-9066-c6838f9290e4,The Little House,Virginia Lee Burton,1942,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","A century of American urbanization (transportation history: horse-to-elevated-train-to-subway, environmental change, urban sprawl and renewal) compressed into a single picture book; Burton's intricate architectural illustrations function as historical documents that reward careful study at 7-9.",
J-063,cb7e34e5-ae22-4901-8833-1632ca317434,The Recess Queen,Alexis O'Neill,2002,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The bullying-intervention model (unafraid friendliness, invitation to play) is genuine social psychology but packaged at K-2 picture-book density; a 7-9's actual peer dynamics are more complex than the jump-rope-together solution, and the format reads as 'for little kids' without a second layer.",
J-064,d9e4d160-c321-4088-aa30-6f75fdd9b1cf,The Relatives Came,Cynthia Rylant,1985,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The sensory richness of family reunion and Virginia geography are presented at picture-book density without a second layer; the emotional content (summer warmth, ache of goodbye) is accessible but not conceptually engaging for 7-9 as primary content — it reads as nostalgic rather than substantive.",
J-065,a91f8ae6-8fb6-43cd-9181-24d896e9bd19,The Snail and the Whale,Julia Donaldson,2003,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","World geography content (icebergs, volcanoes, beaches, coral reefs as named distinct ecosystems) and marine biology (whale stranding and rescue mechanics) give 7-9 substantive geographic and ecological content; Donaldson's sophisticated rhyme carries at this band without baby-register.",
J-066,3063c2bc-0e82-497d-806b-bdb62bcd24ed,The Truth about Dragons,Julie Leung,2023,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9",Comparative mythology (Eastern vs. Western dragon traditions placed side by side) and the epistemological lesson ('truth changes depending on where you stand') are substantive philosophy and world history content; 7-9 engage the comparative analysis most fully as they begin cross-cultural study.,
J-067,5bd407cd-074f-404c-adea-02af3c449cd3,The Ugly Five,Julia Donaldson,2017,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","The evolutionary adaptation concept (each ugly feature is a survival advantage) is genuine biology but presented at picture-book rhyme density; 7-9 with biology interest will have outpaced this level, and the African savanna geography is listed but not developed deeply enough to carry the band independently.",
J-068,773a213f-f1ed-4df8-9a6a-f400de573c50,The Water Princess,Susan Verde,2016,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The memoir-backed water access story carries geography (Burkina Faso), water science (access, contamination, distance-to-source), and social justice content that engages 7-9 across multiple academic domains; the real basis (Georgie Badiel's childhood) gives it biographical and historical weight.",
J-069,81ad82ba-60b4-4d23-b774-cf8839308b6f,The Yellow Bus,Loren Long,2024,"3-4, 5-6, 7-9",flag-for-amy,"3-4, 5-6, 7-9",The philosophy-of-purpose content and ecological transformation (bus-as-habitat) could carry genuine depth for 7-9 or read as thin contemplative picture book; 'contemplative ode' descriptions can mean either sparse-text-beautiful-images (demote 7-9) or genuinely philosophical text — Amy should confirm text density before classifying.,review
J-070,4207d9b3-eb32-454e-84b1-2655737f6804,This Is Not My Hat,Jon Klassen,2012,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9",Klassen's visual-literary sophistication (the big fish's eyes narrate the true story before text confirms it) gives 7-9 genuine visual literacy content; the dark irony of the small fish's rationalizations and the ocean habitat add scientific and literary layers a fluent reader can analyze.,
J-071,16a917e6-21c1-4d6f-98d7-7db99bd63f3b,Thunder Cake,Patricia Polacco,1990,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The meteorology physics (counting seconds between lightning and thunder to calculate storm distance), food science (baking chemistry from scratch), and psychological reframing strategy (purposeful action transforms fear) give 7-9 substantive multi-domain content; Polacco's dense illustration style carries additional observational detail.",
J-072,3f342aec-3941-4d69-ab06-02534d97bcae,Tops and Bottoms,Janet Stevens,1995,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The plant science (which edible parts grow above vs. below ground) is foundational knowledge already familiar to 7-9; the Appalachian trickster tale structure is enjoyable but the concept density is calibrated for concrete-operational early-elementary learners rather than fluent Artisan readers.,
J-073,9216b1b4-e511-470d-812b-807dd7074942,Unflappable,Matthew Ward,2023,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The engineering design cycle (iterate-fail-learn, each failure informing the next machine) with diagram-specific machine drawings and flightless bird anatomy gives 7-9 substantive STEM content; the persistence psychology is developmentally well-timed as domain interests and performance stakes intensify.",
J-074,e8dab9b4-63ba-485f-8314-e2f09773d625,We Are Water Protectors,Carole Lindstrom,2020,"3-4, 5-6, 7-9",confirm-triple,"3-4, 5-6, 7-9","The Indigenous environmental philosophy, Standing Rock historical context, and water science (water as interconnected ecological system) give 7-9 substantive content in environmental science, Indigenous history, and social justice; the Caldecott Medal illustration quality adds visual and cultural depth.",
J-075,e15a32d2-db46-45a1-b7c0-4bd0bc90bde8,Wemberly Worried,Kevin Henkes,2000,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6","Wemberly's worry inventory is age-calibrated for preschool concerns (radiator, sandbox); at 7-9 anxiety is real but the K-1 picture-book delivery doesn't match the complexity of this band's social landscape, and the format reads as 'for little kids' without a second layer.",
J-076,7fb484a2-68af-4f00-8168-a64ab5a3de94,What Do You Do with a Chance,Kobi Yamada,2018,"3-4, 5-6, 7-9",demote-7-9,"3-4, 5-6",The opportunity cost concept and philosophical framing are relevant at 7-9 but delivered at inspirational-picture-book density; the sparse text and social-emotional-only subject framing don't carry sufficient concept weight for 7-9 as primary content — the concept is grasped immediately without an expanding layer.,
