id,title,author,orbital_score,reading_level,book_format,parent_role,hook,status,browse_visible,cover_image_url,year_published,age_bands,themes,subjects
6e1f2676-03fb-4c8f-a973-09578100de31,Bartleby,Matt Phelan,3,pre-reader,picture-book,read-together,Bartleby is a dapper polar bear who knows exactly who he is — and the book is a modern classic for children who feel the pressure to be someone different.,active,True,https://m.media-amazon.com/images/I/91owfGoVg7L._SL500_.jpg,2026,"2-4, 5-7","authenticity, community, identity, polar-bear, self-acceptance",social-emotional
9e1fbf66-af89-42cc-a91d-f4e6fe717e33,Beautiful Black Boy,Sophia Robinson,2,pre-reader,picture-book,read-together,"A joyful, affirmational celebration of Black boyhood — every spread an explosion of color and pride, with words designed to live in a child's head.",active,True,https://m.media-amazon.com/images/I/71dkEpJHzYL._SL500_.jpg,2026,2-4,"affirmation, Black-joy, celebration, confidence, identity",social-emotional
bfe96837-cc37-4a92-bebd-3c915c74752b,Beautiful Oops,Barney Saltzberg,4,pre-reader,picture-book,read-together,"Every rip, spill, and smudge becomes a new creation — the most joyful case for growth mindset ever bound between covers.",active,True,https://covers.openlibrary.org/b/id/6596371-L.jpg,2010,2-4,"art, creativity, growth-mindset, mistakes",
7a308cb7-81a3-44f8-ae7e-e41e427df1e5,Before Colors,Javier Saez Castan,4,pre-reader,picture-book,read-together,"Before there were colors, there was light — and this picture book is a physics lesson about perception disguised as a bedtime question.",active,True,https://m.media-amazon.com/images/I/71qGZIw5WbL._SL500_.jpg,2025,2-4,"color, perception, physics-of-light, vision, wonder",
f938c883-c767-4295-a10c-bfab15d77719,Big,Vashti Harrison,5,pre-reader,picture-book,read-together,A baby girl grows up hearing the word 'big' used as a wound — and eventually turns it into a crown.,active,True,https://covers.openlibrary.org/b/id/13470283-L.jpg,2023,"2-4, 5-7","acceptance, body-image, identity, kindness, self-love",social-emotional
30a2566e-39e9-4ee2-afa7-d61909179798,Blueberries for Sal,Robert McCloskey,4,pre-reader,picture-book,read-together,A little girl and a bear cub both follow the wrong mother in the blueberry patch — a perfect parallel story about summer food and staying close.,active,False,https://covers.openlibrary.org/b/id/11307420-L.jpg,1948,2-4,"foraging, Maine, mother-child, nature, seasons","science, social-emotional"
9bf459f7-ad66-4fed-a9e8-021ac99d3177,Brave Irene,William Steig,4,pre-reader,picture-book,read-together,Irene delivers a ballgown through a blizzard for her sick mother — and the snow is so real you feel it.,active,False,https://covers.openlibrary.org/b/id/224313-L.jpg,1986,"2-4, 5-7","determination, love, weather, winter",
81517935-02ce-4970-a526-362a924ce474,Caboose,Travis Jonker,3,pre-reader,picture-book,read-together,A hippo is always first in line — until the day she's banished to the back. What happens to a child who has always led?,active,True,https://covers.openlibrary.org/b/id/15090683-L.jpg,2025,2-4,"cooperation, hippo, humor, power, school-line",social-emotional
c6dbe5d7-1c9f-4315-be27-2f89f0d3cea5,Caps for Sale,Esphyr Slobodkina,4,pre-reader,picture-book,read-together,A peddler falls asleep under a tree with caps stacked on his head. Every monkey in the tree takes one.,active,False,https://covers.openlibrary.org/b/isbn/9780694700042-L.jpg,1940,2-4,"commerce, imitation, monkeys, patterns, problem-solving","math, science, social-emotional"
48978b94-9845-4908-be85-85e77a60edae,Chicka Chicka Boom Boom,Bill Martin Jr.,4,pre-reader,picture-book,read-together,All 26 letters race up the coconut tree — a phonics party with a structural collapse and a rhythm that sticks for life.,active,False,https://covers.openlibrary.org/b/id/1320266-L.jpg,1989,2-4,"alphabet, coconut-tree, letters, phonics, rhyme",language-arts
0b93858b-1484-42c5-993b-59aa28e6a98c,Chooch Helped,Andrea L. Rogers,4,pre-reader,picture-book,read-together,Sissy's little brother Chooch helps with everything — whether anyone asked him to or not — and the frustration is exactly right.,active,True,https://covers.openlibrary.org/b/isbn/9781646144792-L.jpg,2024,"2-4, 5-7","family, growing-up, helping, humor, siblings",social-emotional
25aba46b-c9ce-40d3-be9c-a0e32a8a8c07,Chrysanthemum,Kevin Henkes,4,pre-reader,picture-book,read-together,A girl named Chrysanthemum loves her name until school teaches her to be ashamed of it — and one teacher quietly gives it back.,active,True,https://covers.openlibrary.org/b/id/6712201-L.jpg,1991,"2-4, 5-7","belonging, identity, kindness, names, school",
ad2a033f-c5f0-4e35-bbeb-2e736bbba0f4,Click Clack Moo: Cows That Type,Doreen Cronin,5,early-reader,picture-book,read-together,The cows find a typewriter and write demands to the farmer — a barnyard negotiation that accidentally teaches labor history and the power of written language.,active,True,https://covers.openlibrary.org/b/id/5725264-L.jpg,2000,"2-4, 5-7","animals, communication, labor, negotiation, writing",
4ed65746-1652-494c-95fd-649d3f1053b9,Clifford the Big Red Dog,Norman Bridwell,4,pre-reader,picture-book,read-together,Emily Elizabeth's love for her tiny puppy makes him the biggest dog in the world — and the town has to rearrange itself around Clifford.,active,False,https://covers.openlibrary.org/b/id/383686-L.jpg,1963,2-4,"community, dogs, friendship, size, suburban",
6da4c965-62db-4138-9f65-faba4c100ebe,Corduroy,Don Freeman,4,pre-reader,picture-book,read-together,A department store bear with a missing button waits for someone to love him — and a girl with not quite enough money proves that love doesn't need to be perfect.,active,False,https://covers.openlibrary.org/b/id/1333207-L.jpg,1968,2-4,"acceptance, bears, belonging, friendship",social-emotional
1f2900b1-9c81-4b0e-a4e5-dd2e47d20cb6,Count on Me,Miguel Tanco,5,pre-reader,picture-book,read-together,"A girl who sees math everywhere: in spider webs, in sliced oranges, in the way birds sit on a wire.",active,True,https://covers.openlibrary.org/b/isbn/9780735265752-L.jpg,2018,2-4,"beauty-in-math, daily-life, math, observation, parent-child, patterns","art, math, social-emotional"
a53b0201-8939-4aee-9a07-a3d0a8f4f96e,"Cranky, Crabby Crow (Saves the World)",Corey R. Tabor,3,pre-reader,picture-book,read-together,Crow seems cranky and mean and scares everyone away — and he is actually on a top-secret mission that will stun his friends.,active,True,https://m.media-amazon.com/images/I/91nhFj01UML._SL500_.jpg,2025,2-4,"crow, friendship, humor, stealth, superhero",social-emotional
6acd87a9-74c3-4720-84c0-14a9f636d84e,Creepy Carrots!,Aaron Reynolds,4,pre-reader,picture-book,read-together,Jasper Rabbit loves carrots. Then the carrots start following him. Or do they?,active,True,https://covers.openlibrary.org/b/isbn/9781442402973-L.jpg,2012,2-4,"carrots, fear, garden, humor, imagination, paranoia, problem-solving","language-arts, science, social-emotional"
07b8665d-05d3-45a6-9122-8726aa6aca95,Croco,Azul López,2,pre-reader,picture-book,read-together,Croco is stuck in a hole — and tries every solution imaginable before finding the one that actually works.,active,True,https://m.media-amazon.com/images/I/71tiz4feyVL._SL500_.jpg,2025,2-4,"crocodile, humor, problem-solving, resilience, stuck",social-emotional
f3d4d000-1cb9-4367-a921-c5b7a92d75cd,Dad,Christian Robinson,3,pre-reader,picture-book,read-together,"Christian Robinson's love letter to his own father — depicting a dad who is vulnerable, imperfect, gentle, and deeply human.",active,True,https://covers.openlibrary.org/b/id/320591-L.jpg,2026,2-4,"complexity, family, father, love, vulnerability",social-emotional
92abc47c-b823-4963-865a-df090866dbd4,"Dad, I Miss You",Nadia Sammurtok,3,pre-reader,picture-book,read-together,An Inuit child misses their father — and the specific landscape of the Arctic holds both the missing and the love.,active,True,https://covers.openlibrary.org/b/isbn/9781772274820-L.jpg,2025,2-4,"father, grief, Inuit, longing, missing",social-emotional
7c8af3b6-effe-4be0-ac84-d509ed9734da,Dawn: Watch the World Awaken,Marc Martin,4,pre-reader,picture-book,read-together,Dawn breaks over a forest lake — and every creature's awakening is a precise observation of how nature opens each day.,active,True,https://covers.openlibrary.org/b/id/15115606-L.jpg,2025,2-4,"dawn, light, nature, observation, wildlife",
059bbc49-9742-4eae-8200-2bbd64e79188,Diary of a Spider,Doreen Cronin,4,early-reader,picture-book,read-together,"A spider's diary reveals the misunderstood life of arachnids — including web architecture, fly diplomacy, and the annual spider molt.",active,True,https://covers.openlibrary.org/b/id/20186-L.jpg,2005,"2-4, 5-7","arachnids, humor, perspective, science, webs",
ff3e0389-e6f9-4b05-965b-39e3b5586f77,Diary of a Worm,Doreen Cronin,5,early-reader,picture-book,read-together,A worm's diary reveals the underground world most children have never thought about — and makes soil ecology genuinely unforgettable.,active,True,https://covers.openlibrary.org/b/id/1937663-L.jpg,2003,"2-4, 5-7","decomposition, humor, perspective, soil-ecology, underground",
684ebd3f-446d-4e68-b20a-dd5fe819d7d9,Doctor De Soto,William Steig,4,pre-reader,picture-book,read-together,A mouse dentist treats a fox — and has to outwit the fox before the fox eats him at the end of the appointment.,active,False,https://covers.openlibrary.org/b/id/6303135-L.jpg,1982,"2-4, 5-7","cleverness, dentistry, problem-solving, trust",
1ba03b53-9997-46c0-aa65-c72caef1974c,Don't Eat the Birthday Boy!,Donna Barba Higuera,3,early-reader,picture-book,read-together,"A monster was assigned to scare a child — but the child is having a birthday party, and the monster has a problem.",active,True,https://m.media-amazon.com/images/I/81Ce8sMr6EL._SL500_.jpg,2026,"2-4, 5-7","birthday, friendship, humor, hunger, monster",social-emotional
7b780b79-8ed2-4fb4-9559-f8031e1c0a18,Don't Let the Pigeon Drive the Bus,Mo Willems,4,pre-reader,picture-book,read-together,The bus driver asks you to keep the pigeon from driving — and the pigeon will try every rhetorical trick he knows.,active,True,https://covers.openlibrary.org/b/id/544664-L.jpg,2003,2-4,"humor, persuasion, reader-engagement, rules",
2b0e837b-e50b-40db-8a86-75aedd4f2a23,Don't Trust Fish,Neil Sharpson,4,pre-reader,picture-book,read-together,Fish have been plotting against us the whole time — and this book is a warning delivered with the comedic timing of a master.,active,True,https://m.media-amazon.com/images/I/61iozKi2BkL._SL500_.jpg,2025,"2-4, 5-7","absurdist, fish, humor, ocean, unreliable-narrator",
c4bb0ab6-ee4c-4a3f-86fc-9666f291e713,Dragons Love Tacos,Adam Rubin,4,pre-reader,picture-book,read-together,Dragons love tacos — but they have a fatal weakness for salsa that triggers the funniest consequence in picture book history.,active,True,https://covers.openlibrary.org/b/id/8085856-L.jpg,2012,2-4,"cause-effect, food, humor, imagination",
c00d0d42-e25d-45d2-aa3b-84605898acb2,Drawn Onward,Daniel Nayeri,5,early-reader,picture-book,read-together,"The text reads the same forward and backward — and so does grief, which takes you somewhere new while feeling like you're going in reverse.",active,True,https://covers.openlibrary.org/b/isbn/9780063277168-L.jpg,2024,"2-4, 5-7","grief, loss, love, memory, palindrome",
9ecafe57-379b-4883-a410-b5f095437989,Drum Dream Girl,Margarita Engle,5,pre-reader,picture-book,read-together,"On an island where only boys played drums, one girl heard music anyway.",active,True,https://covers.openlibrary.org/b/isbn/9780544102293-L.jpg,2015,"2-4, 5-7","barrier-breaking, Cuba, gender-roles, music, persistence, rhythm","art, history, social-emotional"
6ce545e9-8d59-40fb-87ca-0f66818d56bf,Duck and Goose,Tad Hills,4,pre-reader,picture-book,read-together,Duck and Goose fight over a polka-dotted ball that turns out to be an egg — and figure out how to be friends despite the misunderstanding.,active,True,https://covers.openlibrary.org/b/id/12036682-L.jpg,2006,2-4,"assumptions, friendship, problem-solving, sharing",social-emotional
aa6d9b53-68b4-4d6f-804d-30858fe9501d,Enemy Pie,Derek Munson,5,pre-reader,picture-book,read-together,A boy spends a whole summer day with his enemy to make the pie work — and discovers his enemy isn't an enemy at all.,active,True,https://covers.openlibrary.org/b/id/5263409-L.jpg,2000,"2-4, 5-7","assumptions, conflict-resolution, friendship, kindness, summer",social-emotional
a826ccf7-f052-446d-8946-ce11ace0ce49,Every Monday Mabel,Jashar Awan,2,pre-reader,picture-book,read-together,"Every Monday, Mabel drags her chair to the driveway to watch the garbage truck — and she doesn't care even slightly that her family thinks it's weird.",active,True,https://covers.openlibrary.org/b/id/14851927-L.jpg,2025,2-4,"community-helpers, garbage-trucks, identity, obsession, passion",social-emotional
f547f4a0-0624-44fb-b4d6-6d6a664ca59c,"Everywhere, Wonder",Matthew Swanson,4,pre-reader,picture-book,read-together,A book that teaches your child to ask questions the way a scientist does: by looking harder at ordinary things.,active,True,https://covers.openlibrary.org/b/isbn/9781338262674-L.jpg,2017,2-4,"curiosity, natural-world, observation, scientific-inquiry, seasons, wonder","language-arts, science, social-emotional"
2169090a-3ba3-4389-9d59-96a6313928d2,Extra Yarn,Mac Barnett,5,pre-reader,picture-book,read-together,Annabelle finds a box of yarn that never runs out — and knits color into a gray winter town until everyone has more than they need.,active,True,https://covers.openlibrary.org/b/id/7256065-L.jpg,2012,"2-4, 5-7","community, creativity, generosity, magic, winter",
72f52208-41f1-4441-94ee-3475335f7688,Fall Is for Beginnings,Rajani LaRocca,3,pre-reader,picture-book,read-together,The start of the school year is also the start of fall — and Ravi discovers that both arrivals bring more than he expected.,active,True,https://covers.openlibrary.org/b/isbn/9781419777400-L.jpg,2025,2-4,"beginnings, fall, friendship, school-year, seasons",
e616e2ea-24f7-45d4-8767-65b81505b43a,Fireworks,Matthew Burgess,4,pre-reader,picture-book,read-together,Two siblings count down a steamy July day to the fireworks — and the waiting is almost the whole point.,active,True,https://covers.openlibrary.org/b/isbn/9780063216723-L.jpg,2025,"2-4, 5-7","anticipation, city, July-4th, light, siblings, summer",
be1f945f-4b45-4c5e-bd65-232dbd7fbd2c,Fish and Wave,Sergio Ruzzier,3,early-reader,early-reader,read-side-by-side,"A fish and a wave are total opposites — and they become best friends anyway, which is the whole ocean in a sentence.",active,True,https://covers.openlibrary.org/b/id/12468639-L.jpg,2022,"2-4, 5-7","friendship, humor, loyalty, ocean, opposites",
145e26b0-1c36-4a02-886e-8b1583875661,Fox Has a Problem,Corey R. Tabor,3,early-reader,early-reader,read-side-by-side,"Fox has a problem — and every animal friend he asks gives him a completely different solution, which makes the problem much, much bigger.",active,True,https://covers.openlibrary.org/b/id/13666848-L.jpg,2023,"2-4, 5-7","communication, community, creativity, humor, problem-solving",
b5c2d026-d29b-4f9d-b5c2-c24ce733a0fd,Fox Versus Fox,Corey R. Tabor,3,early-reader,early-reader,read-side-by-side,"Fox meets another Fox — and they are immediately competitive about everything, including who is more Fox-like.",active,True,https://covers.openlibrary.org/b/id/10544791-L.jpg,2024,"2-4, 5-7","community, competition, humor, identity, self-acceptance",
fe9950f6-4eab-4252-a098-de25830ae124,Frederick,Leo Lionni,5,pre-reader,picture-book,read-together,"While his mouse family stores food for winter, Frederick stores colors, words, and sunlight — and saves them all when the cold and dark close in.",active,False,https://covers.openlibrary.org/b/id/254689-L.jpg,1967,"2-4, 5-7","art, community, creativity, purpose, seasons","art, science, social-emotional"
58924788-0849-4803-9668-dcb1a1af3465,Freight Train,Donald Crews,4,pre-reader,board-book,read-together,"A red caboose, an orange tank car, a yellow hopper car, and a black steam engine. Moving. Caldecott Honor.",active,False,https://covers.openlibrary.org/b/isbn/9781907912047-L.jpg,1978,2-4,"colors, motion, speed, trains, transportation","art, math, science"
f0247dc5-ea52-4988-a520-1b58c49846fa,Frog and Toad Are Friends,Arnold Lobel,5,early-reader,early-reader,read-together,Five short stories about two very different friends — and the most loving argument for loyalty in early chapter book form.,active,False,https://covers.openlibrary.org/b/id/11303047-L.jpg,1970,"2-4, 5-7","friendship, kindness, loyalty, nature, seasons",
a06d73c5-0ef8-4cd0-98b5-1323a742ad62,From Seed to Plant,Gail Gibbons,4,early-reader,nonfiction,read-together,"The complete plant life cycle from seed to flower to fruit to new seed — accurate, illustrated, and impossible to forget.",active,True,https://covers.openlibrary.org/b/id/4035545-L.jpg,1991,"2-4, 5-7","gardening, life-cycle, plants, pollination, seeds",science
0e90b8a7-1aac-409a-9910-10ec840296a5,George and Martha,James Marshall,4,pre-reader,picture-book,read-together,Five short stories about two hippos who are best friends — and who test every assumption about what friendship requires.,active,False,https://covers.openlibrary.org/b/id/257111-L.jpg,1972,2-4,"consideration, friendship, honesty, humor",social-emotional
ea2a918c-ba66-4d0b-8035-daa668fade8e,Gigi and Ojiji,Melissa Iwai,3,early-reader,early-reader,read-side-by-side,Gigi doesn't speak her grandfather's language — but they find a way to say everything that matters without words.,active,True,https://covers.openlibrary.org/b/id/12468649-L.jpg,2022,"2-4, 5-7","daily-life, family, grandparent-bond, language-barrier, love",social-emotional
9da2c9d7-8402-4de8-b6c8-b8c670b46e86,Good Golden Sun,Brendan Wenzel,4,pre-reader,picture-book,read-together,The sun's energy flows through an entire ecosystem in one day — from the top of the food chain to the bottom and back — in a book that is visually unlike anything else.,active,True,https://m.media-amazon.com/images/I/81p8Cc+YzqL._SL500_.jpg,2025,2-4,"ecosystem, life, light, solar-energy, sun",science
aff545fa-511e-4399-b6b4-1c2029ee0b53,Goodnight Gorilla,Peggy Rathmann,4,pre-reader,picture-book,read-together,A gorilla steals the zookeeper's keys and sets every animal free for the night — told almost entirely in pictures.,active,True,https://covers.openlibrary.org/b/id/9460708-L.jpg,1994,2-4,"animals, humor, nighttime, sequence, zoo",
99dab38b-e906-4cbb-a14d-7c3662017d9c,Goodnight Moon,Margaret Wise Brown,5,pre-reader,board-book,read-together,The most soothing two minutes in childhood — and a secret lesson in language pattern and the night sky.,active,False,https://covers.openlibrary.org/b/id/35556-L.jpg,1947,2-4,"bedtime, language, night-sky, routine, stars","language-arts, science"
442c6618-0291-4ea9-a376-dbcf47383b48,Green Eggs and Ham,Dr. Seuss,4,pre-reader,picture-book,read-together,Sam-I-Am will not stop asking — and his relentless persuasion campaign is secretly a phonics lesson and an argument for open-mindedness.,active,False,https://covers.openlibrary.org/b/id/231746-L.jpg,1960,2-4,"persuasion, phonics, rhyme, trying-new-things",
6c4b17d3-91d8-43ca-9693-1c943fabd262,Growing Vegetable Soup,Lois Ehlert,4,pre-reader,picture-book,read-together,A parent and child grow every vegetable in their soup from seed to pot — the farm-to-table story at its most elemental.,active,False,https://covers.openlibrary.org/b/id/10768249-L.jpg,1987,2-4,"cooking, farming, food, plants, seasons",
85bea2e1-c46a-4df7-84c4-768780144e69,Grumpy Monkey,Suzanne Lang,4,pre-reader,picture-book,read-together,Jim Panzee does not want to be happy today — and no amount of cheerful advice will change that.,active,True,https://covers.openlibrary.org/b/id/10218127-L.jpg,2018,2-4,"animals, emotional-regulation, humor, self-awareness",
ba0c7b74-edef-46b9-ac5f-5e492144459c,Hair Love,Matthew A. Cherry,4,pre-reader,picture-book,read-together,"Daddy has never done Zuri's hair before. He watches tutorials, breaks a comb, and makes a mess. Then he gets it right.",active,True,https://covers.openlibrary.org/b/isbn/9780593111949-L.jpg,2019,"2-4, 5-7","Black-culture, father-daughter, hair, identity, learning","art, science, social-emotional"
0d1302d0-b5cf-4e39-a4c0-359f0622f804,Harold and the Purple Crayon,Crockett Johnson,4,pre-reader,picture-book,read-together,"Harold draws his entire world into existence with one crayon — and when something goes wrong, he draws a solution.",active,False,https://covers.openlibrary.org/b/id/50758-L.jpg,1955,2-4,"creativity, imagination, problem-solving, self-direction",
7bc55181-dde1-4725-9bf3-d59f4817b557,"Henry, Like Always",Jenn Bailey,3,early-reader,early-reader,read-side-by-side,Henry's school day follows the exact same sequence every day — and the day it doesn't is the whole story.,active,True,https://covers.openlibrary.org/b/id/13306050-L.jpg,2023,"2-4, 5-7","community, consistency, friendship, school-routine, worry",social-emotional
6df0d6b8-5528-486b-ac8d-7af57da421ed,Hot Dog,Doug Salati,5,pre-reader,picture-book,read-together,A city dog on the hottest day of summer finds his way to the shore — and the whole arc of relief is something any child who has ever been too warm will understand.,active,True,https://covers.openlibrary.org/b/id/14560346-L.jpg,2022,"2-4, 5-7","dogs, heat, New-York-City, seasons, summer, urban-nature",
665c09d6-2481-4644-aaa9-8453d527439e,How a House Is Built,Gail Gibbons,4,early-reader,nonfiction,read-together,"Every step of building a house from blueprint to moving day — clear, accurate, and illustrated like a technical diagram a child can love.",active,True,https://covers.openlibrary.org/b/id/4037408-L.jpg,1990,"2-4, 5-7","architecture, community, construction, engineering, materials",science
a0a9265c-c1e6-42f8-a89a-d4218e91eac3,How Dinosaurs Went Extinct: A Safety Guide,Ame Dyckman,4,pre-reader,picture-book,read-together,Dinosaurs went extinct because they didn't follow basic safety rules — and the evidence is presented with courtroom seriousness.,active,True,https://m.media-amazon.com/images/I/91fxbkD3DSL._SL500_.jpg,2023,"2-4, 5-7","dinosaurs, extinction, humor, paleontology, safety",
59825a90-3e9c-4274-8451-0692c31be197,How Do Dinosaurs Say Goodnight,Jane Yolen,4,pre-reader,picture-book,read-together,"Real dinosaur species have bedtime tantrums — and then, eventually, they go to sleep just like children.",active,True,https://covers.openlibrary.org/b/id/6682726-L.jpg,2000,2-4,"bedtime, behavior, dinosaurs, family, humor",
a3ee120a-fd01-4952-8d48-c095a9c4ca8a,How to Count to 1,Casper Salmon,3,pre-reader,picture-book,read-together,The instructions are simple: count to one. No higher. The math and the comedy are perfectly balanced.,active,True,https://m.media-amazon.com/images/I/71jsCdHhzML._SL500_.jpg,2023,"2-4, 5-7","counting, humor, math, one, visual-jokes",
b757bb46-56e4-46c3-81fe-35d5d71049d4,How to Find a Fox,Nilah Magruder,4,pre-reader,picture-book,read-together,She goes into the woods to find a fox. She does not find one. She finds everything else.,active,True,https://covers.openlibrary.org/b/isbn/9781250846563-L.jpg,2016,2-4,"failure, foxes, observation, patience, tracking, woodland","science, social-emotional"
1ec03ea0-db35-4e75-b6e0-3a16a9a54ee0,How to Hatch: A Gosling's Guide to Breaking Free,Sara Holly Ackerman,4,pre-reader,nonfiction,read-together,A gosling inside an egg narrates the exact scientific process of hatching — and the pep talk she gives herself along the way is both biologically accurate and genuinely encouraging.,active,True,https://m.media-amazon.com/images/I/81QWqTwvo-L._SL500_.jpg,2026,"2-4, 5-7","biology, eggs, gosling, hatching, perseverance",
941f636f-b69a-400d-a8f4-ccf669a9220e,I Did It!,Michael Emberley,3,early-reader,early-reader,read-side-by-side,"A little bear finally does something all by himself — and the brimming pride is completely out of proportion to the task, which is exactly right.",active,True,https://covers.openlibrary.org/b/id/12537683-L.jpg,2022,"2-4, 5-7","failure, humor, independence, pride, toddler-milestones",social-emotional
ee80fc08-e859-41e1-9112-a219cd469a82,"I Hear the Snow, I Smell the Sea",Janice Milusich,3,early-reader,picture-book,read-together,A child experiences snow and sea through sound and smell rather than sight — and the world opens differently when you experience it through different senses.,active,True,https://covers.openlibrary.org/b/isbn/9780593308172-L.jpg,2025,"2-4, 5-7","disability, perception, sea, senses, snow",
69c7aa1b-e76e-4d86-831f-4e11bf64564b,I Like Myself!,Karen Beaumont,3,pre-reader,picture-book,read-together,A girl with wild curls declares everything she loves about herself and dares the world to disagree.,active,True,https://covers.openlibrary.org/b/isbn/9780152020132-L.jpg,2004,"2-4, 5-7","body-awareness, identity, individuality, self-esteem","language-arts, social-emotional"
51eca779-fae5-4bb2-afea-e91abf52840d,If You Give a Mouse a Cookie,Laura Numeroff,4,pre-reader,picture-book,read-together,One cookie triggers an unstoppable chain reaction — the funniest math lesson about cause and effect ever written.,active,False,https://covers.openlibrary.org/b/id/50977-L.jpg,1985,2-4,"cause-effect, humor, predictions, sequence",
7a8abd24-5ca4-4313-9fbf-e67f5780b5df,If You Give a Pig a Pancake,Laura Numeroff,4,pre-reader,picture-book,read-together,A pig's pancake breakfast spirals into a day of cause-and-effect chaos — and along the way introduces maple syrup production and food science.,active,True,https://covers.openlibrary.org/b/id/51172-L.jpg,1998,2-4,"cause-effect, cooking, humor, sequence",
f166d77a-714a-461a-88ba-53e0c2b7b86a,If You Plant a Seed,Kadir Nelson,4,pre-reader,picture-book,read-together,Plant a seed of selfishness and watch what grows. Plant a seed of kindness and watch what grows.,active,True,https://covers.openlibrary.org/b/isbn/9780062298898-L.jpg,2015,2-4,"cause-and-effect, gardening, generosity, seeds, sharing","science, social-emotional"
8bbb56d2-d371-4708-aa59-6fa2c6c27214,"Iggy Peck, Architect",Andrea Beaty,5,pre-reader,picture-book,read-together,A boy who has been building things since he was two constructs a bridge out of shoes and string.,active,True,https://covers.openlibrary.org/b/isbn/9781520095714-L.jpg,2007,"2-4, 5-7","architecture, creativity, engineering, persistence, STEM","art, history, science, social-emotional"
