file:line | hard-coded value | token adopted | FINDING
index.html:1333 | #0C1020 | var(--ink) | 
index.html:1334 | #E8AF38 | var(--saffron) | 
index.html:1336 | #0C1020 | var(--ink) | 
index.html:1337 | #0C1020 | var(--ink) | 
index.html:1337 | #E8AF38 | var(--saffron) | 
index.html:1341 | #0C1020 | var(--ink) | 
index.html:1420 | #F8F4E9 | var(--linen) | 
index.html:1599 | #E8AF38 | var(--saffron) | 
index.html:1601 | #0C1020 | var(--ink) | 
index.html:1610 | #0C1020 | var(--ink) | 
index.html:1624 | #E8AF38 | var(--saffron) | 
index.html:1785 | #0C1020 | var(--ink) | 
index.html:1790 | #E8AF38 | var(--saffron) | 
index.html:1792 | #E8AF38 | var(--saffron) | 
index.html:1907 | #0C1020 | var(--ink) | 
index.html:1912 | #FAFAFA | var(--paper) | 
index.html:1913 | #E8AF38 | var(--saffron) | 
index.html:1918 | #E8AF38 | var(--saffron) | 
index.html:1933 | #E8AF38 | var(--saffron) | 
index.html:1935 | #FAFAFA | var(--paper) | 
index.html:1938 | #E8AF38 | var(--saffron) | 
index.html:1938 | #0C1020 | var(--ink) | 
index.html:1939 | #FAFAFA | var(--paper) | 
index.html:1939 | #0C1020 | var(--ink) | 
index.html:1969 | #F8F4E9 | var(--linen) | 
index.html:2024 | #0C1020 | var(--ink) | 
index.html:2030 | #E8AF38 | var(--saffron) | 
index.html:2036 | #0C1020 | var(--ink) | 
index.html:2043 | #E8AF38 | var(--saffron) | 
index.html:2097 | #0C1020 | var(--ink) | 
index.html:2105 | #0C1020 | var(--ink) | 
index.html:2123 | #0C1020 | var(--ink) | 
index.html:2126 | #0C1020 | var(--ink) | 
index.html:2128 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
index.html:2131 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
index.html:2137 | #0C1020 | var(--ink) | 
index.html:2138 | #E8AF38 | var(--saffron) | 
index.html:2141 | #E8AF38 | var(--saffron) | 
index.html:2142 | #0C1020 | var(--ink) | 
index.html:2143 | #E8AF38 | var(--saffron) | 
index.html:2147 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
index.html:2440 | #225 | N/A | FINDING: #225 has no token
index.html:2646 | #E8AF38 | var(--saffron) | 
index.html:2829 | #E8AF38 | var(--saffron) | 
index.html:2829 | #D4A030 | N/A | FINDING: #D4A030 has no token
index.html:2829 | #F0C45A | N/A | FINDING: #F0C45A has no token
index.html:2829 | #C49028 | N/A | FINDING: #C49028 has no token
index.html:2829 | #FFD770 | N/A | FINDING: #FFD770 has no token
index.html:2829 | #B87D1A | N/A | FINDING: #B87D1A has no token
index.html:3029 | #F0C050 | N/A | FINDING: #F0C050 has no token
index.html:3228 | #E8AF38 | var(--saffron) | 
about.html:30 | #E8AF38 | var(--saffron) | 
about.html:30 | #0C1020 | var(--ink) | 
about.html:30 | #FAFAFA | var(--paper) | 
about.html:30 | #F8F4E9 | var(--linen) | 
about.html:30 | #F8F4E9 | var(--linen) | 
about.html:30 | #E0DED6 | var(--rule) | 
about.html:30 | #4A4850 | var(--mid) | 
about.html:30 | #A8A6B0 | var(--faint) | 
ages.html:14 | #E8AF38 | var(--saffron) | 
ages.html:14 | #0C1020 | var(--ink) | 
ages.html:14 | #FAFAFA | var(--paper) | 
ages.html:14 | #F8F4E9 | var(--linen) | 
ages.html:14 | #F8F4E9 | var(--linen) | 
ages.html:14 | #E0DED6 | var(--rule) | 
ages.html:14 | #4A4850 | var(--mid) | 
contact.html:16 | #E8AF38 | var(--saffron) | 
contact.html:16 | #0C1020 | var(--ink) | 
contact.html:16 | #F8F4E9 | var(--linen) | 
contact.html:16 | #F8F4E9 | var(--linen) | 
contact.html:17 | #E0DED6 | var(--rule) | 
contact.html:17 | #4A4850 | var(--mid) | 
esa.html:16 | #E8AF38 | var(--saffron) | 
esa.html:16 | #0C1020 | var(--ink) | 
esa.html:16 | #FAFAFA | var(--paper) | 
esa.html:16 | #F8F4E9 | var(--linen) | 
esa.html:16 | #F8F4E9 | var(--linen) | 
esa.html:16 | #E0DED6 | var(--rule) | 
esa.html:16 | #4A4850 | var(--mid) | 
esa.html:99 | #FFFDF8 | N/A | FINDING: #FFFDF8 has no token
games.html:107 | #E8AF38 | var(--saffron) | 
library.html:244 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
methodology.html:30 | #0C1020 | var(--ink) | 
methodology.html:31 | #F8F4E9 | var(--linen) | 
methodology.html:32 | #F8F4E9 | var(--linen) | 
methodology.html:33 | #FAFAFA | var(--paper) | 
methodology.html:34 | #E8AF38 | var(--saffron) | 
methodology.html:47 | #F3F1EB | N/A | FINDING: #F3F1EB has no token
methodology.html:47 | #F0EDE6 | N/A | FINDING: #F0EDE6 has no token
methodology.html:146 | #555 | N/A | FINDING: #555 has no token
methodology.html:314 | #777 | N/A | FINDING: #777 has no token
methodology.html:325 | #555 | N/A | FINDING: #555 has no token
methodology.html:418 | #444 | N/A | FINDING: #444 has no token
methodology.html:541 | #555 | N/A | FINDING: #555 has no token
methodology.html:1119 | #E8AF38 | var(--saffron) | 
pricing.html:15 | #E8AF38 | var(--saffron) | 
pricing.html:15 | #0C1020 | var(--ink) | 
pricing.html:15 | #FAFAFA | var(--paper) | 
pricing.html:15 | #F8F4E9 | var(--linen) | 
pricing.html:15 | #F8F4E9 | var(--linen) | 
pricing.html:15 | #E0DED6 | var(--rule) | 
pricing.html:15 | #4A4850 | var(--mid) | 
privacy.html:17 | #E8AF38 | var(--saffron) | 
privacy.html:17 | #0C1020 | var(--ink) | 
privacy.html:17 | #F8F4E9 | var(--linen) | 
privacy.html:18 | #E0DED6 | var(--rule) | 
privacy.html:18 | #666 | N/A | FINDING: #666 has no token
privacy.html:37 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
privacy.html:50 | #D4A030 | N/A | FINDING: #D4A030 has no token
privacy.html:58 | #888 | N/A | FINDING: #888 has no token
privacy.html:61 | #555 | N/A | FINDING: #555 has no token
privacy.html:65 | #555 | N/A | FINDING: #555 has no token
privacy.html:67 | #555 | N/A | FINDING: #555 has no token
scope.html:30 | #777 | N/A | FINDING: #777 has no token
terms.html:17 | #E8AF38 | var(--saffron) | 
terms.html:17 | #0C1020 | var(--ink) | 
terms.html:17 | #F8F4E9 | var(--linen) | 
terms.html:18 | #E0DED6 | var(--rule) | 
terms.html:18 | #666 | N/A | FINDING: #666 has no token
terms.html:37 | #F0F2F8 | N/A | FINDING: Off-white not in tokens
terms.html:50 | #D4A030 | N/A | FINDING: #D4A030 has no token
terms.html:58 | #888 | N/A | FINDING: #888 has no token
terms.html:61 | #555 | N/A | FINDING: #555 has no token
terms.html:64 | #555 | N/A | FINDING: #555 has no token
terms.html:66 | #555 | N/A | FINDING: #555 has no token
terms.html:68 | #555 | N/A | FINDING: #555 has no token
themes.html:27 | #F8F4E9 | var(--linen) | 
themes.html:27 | #FAFAFA | var(--paper) | 
themes.html:27 | #F8F4E9 | var(--linen) | 
themes.html:27 | #E0DED6 | var(--rule) | 
themes.html:28 | #0C1020 | var(--ink) | 
themes.html:28 | #4A4850 | var(--mid) | 
themes.html:28 | #E8AF38 | var(--saffron) | 
themes.html:29 | #2030A0 | N/A | FINDING: #2030A0 has no token
themes.html:29 | #9A8600 | N/A | FINDING: #9A8600 has no token
themes.html:29 | #7A6800 | N/A | FINDING: #7A6800 has no token
themes.html:30 | #247840 | N/A | FINDING: #247840 has no token
themes.html:30 | #CC6000 | N/A | FINDING: #CC6000 has no token
themes.html:30 | #6030B0 | N/A | FINDING: #6030B0 has no token
the-open-seat.html:11 | #E8AF38 | var(--saffron) | 
the-open-seat.html:11 | #0C1020 | var(--ink) | 
the-open-seat.html:11 | #FAFAFA | var(--paper) | 
the-open-seat.html:11 | #F2F0EA | var(--linen) | 
the-open-seat.html:11 | #ECEAE3 | N/A | FINDING: #ECEAE3 has no token
the-open-seat.html:11 | #E0DED6 | var(--rule) | 
the-open-seat.html:11 | #4A4850 | var(--mid) | 
the-open-seat.html:83 | #1A4EC2 | N/A | FINDING: #1A4EC2 has no token
the-open-seat.html:83 | #1E54C6 | N/A | FINDING: #1E54C6 has no token
the-open-seat.html:83 | #2260CC | N/A | FINDING: #2260CC has no token
the-open-seat.html:84 | #2868CC | var(--day-sky) | 
the-open-seat.html:84 | #2E6ECE | N/A | FINDING: #2E6ECE has no token
the-open-seat.html:84 | #306CCC | N/A | FINDING: #306CCC has no token
the-open-seat.html:85 | #2C68C6 | N/A | FINDING: #2C68C6 has no token
the-open-seat.html:85 | #2860B8 | N/A | FINDING: #2860B8 has no token
the-open-seat.html:85 | #2054A8 | N/A | FINDING: #2054A8 has no token
the-open-seat.html:86 | #174496 | N/A | FINDING: #174496 has no token
the-open-seat.html:86 | #123485 | N/A | FINDING: #123485 has no token
the-open-seat.html:296 | #E8AF38 | var(--saffron) | 
the-open-seat.html:305 | #EDBA45 | N/A | FINDING: #EDBA45 has no token
what-we-believe.html:43 | #E8AF38 | var(--saffron) | 
what-we-believe.html:43 | #0C1020 | var(--ink) | 
what-we-believe.html:43 | #FAFAFA | var(--paper) | 
what-we-believe.html:43 | #F8F4E9 | var(--linen) | 
what-we-believe.html:43 | #F8F4E9 | var(--linen) | 
what-we-believe.html:43 | #E0DED6 | var(--rule) | 
what-we-believe.html:43 | #4A4850 | var(--mid) | 
what-we-believe.html:43 | #A8A6B0 | var(--faint) | 
404.html:60 | #555 | N/A | FINDING: #555 has no token
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:38 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
index.html:32 | #E8AF38 | var(--saffron) | 
index.html:19 | #E8AF38 | var(--saffron) | 
index.html:19 | #0C1020 | var(--ink) | 
index.html:19 | #FAFAFA | var(--paper) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #F8F4E9 | var(--linen) | 
index.html:19 | #E0DED6 | var(--rule) | 
index.html:19 | #4A4850 | var(--mid) | 
